Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Abha Technical Institute Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Abha - TVTC,18.2227,42.546,01/01/2017 00:00:00,14.3,0.5,1016.6,269.7,302.6,7075.4,1441.7,1063.7,5111.2,1131.5,218.5,58.7,3,789,4
Abha - TVTC,18.2227,42.546,01/02/2017 00:00:00,13.6,0.5,1723.8,579.7,852.2,3633.6,1748.5,2532.3,4087.9,1313.5,1666.1,73.1,3,787.7,3.9
Abha - TVTC,18.2227,42.546,01/03/2017 00:00:00,16.5,0.5,2015.2,602.6,833.9,5422.2,1607.8,2908.8,5744.1,1400.3,1471.1,60,3,787.2,3.9
Abha - TVTC,18.2227,42.546,01/04/2017 00:00:00,19.5,0.5,,,,6293.1,1691.1,2125.8,,,,46.3,3,788.5,4
Abha - TVTC,18.2227,42.546,01/05/2017 00:00:00,20.9,0.5,2451.5,186.9,571,5004.4,391.3,1562.3,6345.9,434.2,1021.9,53.5,3,788.1,3.9
Abha - TVTC,18.2227,42.546,01/06/2017 00:00:00,24,0.5,2900.9,253.2,800.4,5423.1,548.6,2057.9,7080.7,498.3,802.1,35,3,786.4,3.9
Abha - TVTC,18.2227,42.546,01/09/2017 00:00:00,21.9,0.5,2145.9,171.4,476.2,6415.2,511.3,1411.9,6819.1,441.9,652.1,35.1,3,787.1,3.9
Abha - TVTC,18.2227,42.546,01/10/2017 00:00:00,19.1,0.5,1248.2,104.3,250.4,8360.4,571.4,831.3,6770.3,431.4,348.1,39.6,3,788.4,3.9
Abha - TVTC,18.2227,42.546,01/11/2017 00:00:00,15.6,0.5,1156.3,108.5,326.3,7725.8,561.7,1374.4,5790.6,383.7,530.5,60.1,3,788.3,3.9
Abha - TVTC,18.2227,42.546,01/03/2018 00:00:00,16.5,0.5,1429.2,114.8,432.9,7351.4,271.9,1940.2,6885.5,263.7,957.8,42.4,2.8,787.7,3.9
Abha - TVTC,18.2227,42.546,01/04/2018 00:00:00,17,0.5,2512,389.4,669.7,3527,211.9,1995.4,5335.8,489.7,1311.4,56.5,3,787.1,3.9
Abha - TVTC,18.2227,42.546,01/05/2018 00:00:00,21.4,0.5,2352.8,174.5,490.6,5827.4,485.8,1381.3,6832.7,459.8,869.1,44,3,787,3.9
Abha - TVTC,18.2227,42.546,01/06/2018 00:00:00,23.6,0.5,,,,136.4,35.9,30.7,5280,924.5,634.9,28.4,3,786.2,3.9
Abha - TVTC,18.2227,42.546,01/07/2018 00:00:00,22.6,0.5,,,,136.5,32.7,40.5,4867.2,832,816.6,38.7,3,785.6,3.9
Abha - TVTC,18.2227,42.546,01/08/2018 00:00:00,21.6,0.5,,,,1451,129.5,1276.7,4578.8,706.8,770,49.3,3,785.7,3.9
Abha - TVTC,18.2227,42.546,01/09/2018 00:00:00,22.3,0.5,2181.7,160.9,409.9,6057,464.1,1232.7,6598.5,425.7,545,37.5,3,787.3,3.9
Abha - TVTC,18.2227,42.546,01/10/2018 00:00:00,17.8,0.5,1760.5,87.4,655.5,5515.6,234.6,2341.3,5700.9,205.1,1181.9,45.3,3,788.9,3.9
Abha - TVTC,18.2227,42.546,01/11/2018 00:00:00,15.8,0.5,1385.1,144.8,550.5,6340.4,492.6,1965.6,5209.2,341.9,713.2,64.7,3,788.6,3.9
Abha - TVTC,18.2227,42.546,01/12/2018 00:00:00,14.6,0.5,1171.5,103.5,345.5,6859.7,481.3,1357.4,5076.2,318.6,378.5,65.9,3,788.8,3.9
Abha - TVTC,18.2227,42.546,01/01/2019 00:00:00,14.9,0.5,1116.7,44.8,490.8,7997.3,356,1716.9,5818.2,210.9,444.8,45.3,3,789.3,3.9
Abha - TVTC,18.2227,42.546,01/02/2019 00:00:00,14.8,0.5,1677.1,70.2,604.9,5825.4,256.7,2761.6,5562.1,193.6,1269.2,57.8,3,788.2,3.9
Abha - TVTC,18.2227,42.546,01/03/2019 00:00:00,15.7,0.5,1934.2,78.5,663.3,6573.2,252.9,2881.8,6572.9,208.2,1491.5,55.4,3,787.5,3.9
Abha - TVTC,18.2227,42.546,01/04/2019 00:00:00,18.7,0.5,2147.8,228.5,699.8,6164.4,483.6,2201.9,6706.2,435.9,1134.2,61.6,3,787.4,3.9
Abha - TVTC,18.2227,42.546,01/05/2019 00:00:00,19.4,0.5,2409.9,818.8,741.4,4186.3,1422.2,1891.1,5636.4,1486.9,1195,43.5,3,788.1,3.9
Abha - TVTC,18.2227,42.546,01/06/2019 00:00:00,23.5,0.5,2605.2,192.7,454,4652.7,354.4,1230.4,6225.9,424.9,883.5,38.2,3,786.3,3.9
Abha - TVTC,18.2227,42.546,01/07/2019 00:00:00,23.4,0.5,3007,322.3,601.3,3660.1,331.4,1666.6,5907.4,497.8,1073.7,32.7,3,785.1,3.9
Abha - TVTC,18.2227,42.546,01/08/2019 00:00:00,21.3,0.5,2808,119,546.5,4262.2,201.8,1757.2,6146.7,248.5,956.8,45.8,3,786.2,3.9
Abha - TVTC,18.2227,42.546,01/09/2019 00:00:00,22.5,0.5,2240.7,191.6,564.6,5485.5,454.4,1665.7,6266.4,407.3,727.1,38.8,3,786.5,3.9
