Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Afif Technical Institute Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Afif - TVTC,23.92118,42.94815,01/01/2017 00:00:00,17.4,0.5,130,4,4.3,0.1,2.1,,1542.9,408.2,510.1,5834.3,1283.1,1662.9,4723.7,969.7,360.2,14.7,0.1,32.4,3,898.9,4.5
Afif - TVTC,23.92118,42.94815,01/02/2017 00:00:00,14.3,0.5,98,4,4.5,0.1,1.9,,2397,611.2,657.6,3992.9,1758,2655.8,4872.1,1236.6,1088.1,14.9,0.1,39.3,3,898.9,4.5
Afif - TVTC,23.92118,42.94815,01/03/2017 00:00:00,21.7,0.5,139,4,4.7,0.1,2.5,,2974,754.2,667.6,3598.1,1303.9,2087.3,5521.8,1261.8,983.2,19.7,0.1,36.2,3,895,4.5
Afif - TVTC,23.92118,42.94815,01/04/2017 00:00:00,27.9,0.5,125,4,5,0.1,2.4,,3415.9,872,809.9,3770.1,1442.2,2010.2,6322.8,1413,851.5,26.4,0.1,20.6,3,896.1,4.5
Afif - TVTC,23.92118,42.94815,01/05/2017 00:00:00,31,0.5,186,4,3.5,0.1,1.9,,3460.3,856.9,693.4,4369.2,1312,1775.8,6918.2,1505.6,867,20.8,0.1,21.4,3,894.7,4.5
Afif - TVTC,23.92118,42.94815,01/06/2017 00:00:00,34.5,0.5,74,4,3.8,0.1,2,,2742.9,909.8,861.1,6769.5,1653.3,1653.7,7910.8,1586,320.2,16,0.1,8.7,3,891.7,4.5
Afif - TVTC,23.92118,42.94815,01/09/2017 00:00:00,31.6,0.5,62,4,3.1,0.1,1.8,,2286.2,261,527.3,6573,667.5,1346.4,6954.4,706.6,426.4,16.8,0.1,10,3,894.3,4.5
Afif - TVTC,23.92118,42.94815,01/10/2017 00:00:00,27.5,0.5,132,3.7,3.8,0.1,2.1,,1532,113.4,322,7682,526.3,801.1,6326.5,408.7,289.7,15.2,0.1,13,3,897.3,4.5
Afif - TVTC,23.92118,42.94815,01/11/2017 00:00:00,21.4,0.5,131,4,4.3,0.1,2.4,,1611.6,150.3,470.8,5986.5,540.8,2087.8,4973.7,353.4,734.1,16,0.1,32.7,3,898.5,4.5
Afif - TVTC,23.92118,42.94815,01/03/2018 00:00:00,24.7,0.5,131,4,4.3,0.1,2.4,,2421.9,220.1,789.1,6007.3,498.5,2021.5,6556.4,431.4,784,19.2,0.1,25.7,3,896.8,4.5
