Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Al Aflaaj Technical Institute Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Layla - TVTC,22.27948,46.73319,01/01/2017 00:00:00,18.6,0.5,75,4,2.3,0,1.3,,1507.6,425,511.1,6091.5,1251.5,1386,4876.1,999.2,218.7,10.1,0.1,32.7,3,954.8,4.8
Layla - TVTC,22.27948,46.73319,01/02/2017 00:00:00,16.9,0.5,56,4,2.5,0.1,1.5,,2531.8,668,600.3,3249.8,1191.5,2091.5,4616.1,1082.7,1159.6,14.1,0.1,44.6,3,955.1,4.8
Layla - TVTC,22.27948,46.73319,01/03/2017 00:00:00,24.2,0.5,61,4,2.9,0.1,1.5,,2994.1,804.8,740.4,3519.2,1147,1876.9,5561.4,1235.8,923.8,22.9,0.1,42.2,3,949.9,4.8
Layla - TVTC,22.27948,46.73319,01/04/2017 00:00:00,30.7,0.5,76,4,2.5,0.1,1.4,,2940.1,781.7,688.2,5645.8,1551.2,1839.6,7234.4,1533.2,708.7,12.8,0.1,18.9,3,949.4,4.8
Layla - TVTC,22.27948,46.73319,01/05/2017 00:00:00,35.5,0.5,60,4,2.4,0,1.3,,3519,900.1,884,4607.1,1456,1935.9,7183.5,1498.9,684.8,18.9,0.1,17.6,3,946.3,4.7
Layla - TVTC,22.27948,46.73319,01/06/2017 00:00:00,37.8,0.5,22,4,2.7,0.1,1.3,,3129.9,994.7,1013.7,5882.6,1680.2,1973,7708.1,1574.6,419,14.7,0.1,9.8,3,942.4,4.7
Layla - TVTC,22.27948,46.73319,01/09/2017 00:00:00,35.2,0.5,31,4,2.3,0,1.1,,2113.6,204.3,335.5,6908.4,527.1,960.7,7081.8,597.2,342.4,12.5,0.1,12,3,945.2,4.7
Layla - TVTC,22.27948,46.73319,01/10/2017 00:00:00,30.2,0.5,51,3.7,2.1,0,1,,1599.1,124.4,327.1,7406.4,490.3,716,6346.5,413.4,255,10.4,0.1,17.5,3,950.2,4.7
Layla - TVTC,22.27948,46.73319,01/11/2017 00:00:00,23.5,0.5,85,4,2,0,1.1,,1532.9,177.1,493.5,6449.1,457.4,1488.6,5221.3,337,458.7,10.4,0.1,33,3,953.4,4.8
Layla - TVTC,22.27948,46.73319,01/03/2018 00:00:00,25.9,0.5,93,4,2.6,0.1,1.3,,2424.9,238.5,811.4,6159.7,679,2336.8,6698.7,526.2,976.7,14.1,0.1,22.2,3,950.9,4.8
