Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Al Dawadmi College of Technology Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Al Dawadmi - TVTC,24.5569,44.47411,01/01/2017 00:00:00,16.2,0.5,169,4,3.2,0.1,1.5,,,,,,,,,,,14.7,0.1,35.9,3,910.1,4.6
Al Dawadmi - TVTC,24.5569,44.47411,01/02/2017 00:00:00,13.2,0.5,86,4,3.1,0.1,1.4,,,,,,,,,,,16.3,0.1,43.8,3,910.4,4.6
Al Dawadmi - TVTC,24.5569,44.47411,01/03/2017 00:00:00,21.4,0.5,156,4,3.4,0.1,1.6,,3019.8,822,757,3091.2,1236.7,2099.7,5246.1,1243.9,1066.4,18.1,0.1,39.7,3,906.1,4.5
Al Dawadmi - TVTC,24.5569,44.47411,01/04/2017 00:00:00,27.9,0.5,109,4,3.2,0.1,1.5,,3282.7,863.3,814.5,4047.5,1300.8,2127.8,6383.9,1450.2,1296.5,18.1,0.1,22.1,3,907.1,4.6
Al Dawadmi - TVTC,24.5569,44.47411,01/05/2017 00:00:00,32.4,0.5,251,4,3,0.1,1.5,,3718.9,954,845.4,3915.8,1136.9,1684.8,6876.5,1493.7,762.8,16,0.1,19,3,905,4.5
Al Dawadmi - TVTC,24.5569,44.47411,01/06/2017 00:00:00,34.8,0.5,46,4,3.1,0.1,1.5,,2772.7,876,848.6,7222,1749.4,1708.3,8289.8,1658.3,322.2,14.9,0.1,9.3,3,902.3,4.5
Al Dawadmi - TVTC,24.5569,44.47411,01/09/2017 00:00:00,32.6,0.5,40,4,2.6,0.1,1.5,,2270.6,211.8,489.5,6564.4,548.3,1183.5,6916.9,501.8,413.9,13.3,0.1,9.9,3,904.8,4.5
Al Dawadmi - TVTC,24.5569,44.47411,01/10/2017 00:00:00,28.2,0.5,172,3.7,2.6,0,1.1,,1625.7,118.2,290.6,7341.2,504.7,634.6,6216.5,411.1,255.5,13.3,0.1,13.5,3,907.8,4.5
Al Dawadmi - TVTC,24.5569,44.47411,01/11/2017 00:00:00,21.2,0.5,154,4,2.6,0,1.1,,1679.9,202.1,512.3,5576.3,501.1,2276.6,4804.6,439.4,812.5,11.7,0.1,35.9,3,909.7,4.6
Al Dawadmi - TVTC,24.5569,44.47411,01/03/2018 00:00:00,24.4,0.5,153,4,3,0.1,1.7,,2484.1,200,671.9,5572.4,469.2,1996.6,6327.1,439.1,911,18.4,0.1,24.9,3,907.6,4.6
