Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Al Hanakiyah Technical Institute Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Al Hanakiyah - TVTC,24.85577,40.536,01/01/2017 00:00:00,18.8,0.5,11,4,3.1,0.1,1.7,,1337.4,405.5,505.2,6122.4,1568.2,1594.3,4578.4,1019.7,360.6,14.7,0.1,30.6,3,918.9,4.6
Al Hanakiyah - TVTC,24.85577,40.536,01/02/2017 00:00:00,16.8,0.5,66,4,3.6,0.1,1.8,,1986.1,600.5,782,5640.4,1830.6,2479.5,5384.9,1205.5,705.8,14.7,0.1,27.4,3,919,4.6
Al Hanakiyah - TVTC,24.85577,40.536,01/03/2017 00:00:00,23.4,0.5,231,4,3.7,0.1,2.1,,2622.9,798.3,935,5070.3,1615.3,2600.7,6075.7,1339.5,963.4,16.8,0.1,24.6,3,914.7,4.6
Al Hanakiyah - TVTC,24.85577,40.536,01/04/2017 00:00:00,29.5,0.5,155,4,4,0.1,2,,3217.4,799.5,829.9,4426.2,1574.2,2281.7,6605,1516.1,1038.3,16.5,0.1,17.9,3,915.5,4.6
Al Hanakiyah - TVTC,24.85577,40.536,01/05/2017 00:00:00,32.4,0.5,252,4,3.1,0.1,1.9,,3067.4,785.1,703.7,4924.9,1441,2154.6,6870,1552.6,1150,23.5,0.1,18.3,3,914.3,4.6
Al Hanakiyah - TVTC,24.85577,40.536,01/06/2017 00:00:00,37.2,0.5,352,4,3.1,0.1,1.6,,2441.4,735.9,694.5,7385,1793,1401.9,8035.4,1608.5,267.5,13.1,0.1,8.3,3,911.4,4.6
Al Hanakiyah - TVTC,24.85577,40.536,01/09/2017 00:00:00,34.7,0.5,65,3.7,2.9,0.1,1.6,,2064.4,227.7,557.4,7253.3,764.9,1615.3,6604.4,703.1,689.5,16,0.1,9.4,3,913.8,4.5
Al Hanakiyah - TVTC,24.85577,40.536,01/10/2017 00:00:00,29.7,0.5,170,3.7,2.4,0.1,1.6,,1326.4,98.1,227.9,8131,516.1,606.2,6029.6,371.9,338.6,13.9,0.1,13.2,3,916.2,4.6
Al Hanakiyah - TVTC,24.85577,40.536,01/11/2017 00:00:00,23.4,0.5,116,4,3,0.1,1.7,,1614,148.8,477.2,5300.1,438.8,1972.4,4578.6,314.9,712.3,15.5,0.1,32.3,3,917.9,4.6
Al Hanakiyah - TVTC,24.85577,40.536,01/03/2018 00:00:00,26.6,0.5,156,4,3.2,0.1,2,,2257.7,206.1,849.3,6409.3,501.9,1987.8,6591.4,416.2,501.5,16.8,0.1,20,3,916.2,4.6
