Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Al Uyaynah Research Station Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Riyadh - Al Uyaynah,24.914186,46.415423,01/01/2017 00:00:00,15,0.5,,,,,,,1581.9,438.9,559.6,4950.5,1149.6,2114.4,4222.6,907.6,716.6,,,34,3,933.3,4.7
Riyadh - Al Uyaynah,24.914186,46.415423,01/02/2017 00:00:00,12.4,0.5,,,,,,,2079.2,531,605,3707.3,1582.7,2626.9,4314.8,1128.3,1355.3,,,42.6,3,933.8,4.7
Riyadh - Al Uyaynah,24.914186,46.415423,01/03/2017 00:00:00,20.9,0.5,,,,,,,2892.1,779.7,784.1,3249.1,1171.9,2119.8,5198.5,1262.3,1237.3,,,42.1,3,928.2,4.7
Riyadh - Al Uyaynah,24.914186,46.415423,01/04/2017 00:00:00,28.1,0.5,,,,,,,3243.9,868.8,690.9,4540.3,1423.9,2125.8,6677.5,1524.1,1041.3,,,23,3,928.3,4.7
Riyadh - Al Uyaynah,24.914186,46.415423,01/05/2017 00:00:00,32.9,0.5,,,,,,,3775,939,720.6,4214,1200.3,1620.7,7158.8,1506.5,634,,,20.5,3,925.6,4.6
Riyadh - Al Uyaynah,24.914186,46.415423,01/06/2017 00:00:00,35.1,0.5,,,,,,,2698.5,291.3,891.8,7143.8,529.6,1828.2,8125.3,498,431.8,,,10.9,3,922.3,4.6
Riyadh - Al Uyaynah,24.914186,46.415423,01/10/2017 00:00:00,28.7,0.5,,,,,,,1750.8,133.4,351.9,6883.1,472.5,755.7,6088,385.6,253,,,17.9,3,928.9,4.7
Riyadh - Al Uyaynah,24.914186,46.415423,01/11/2017 00:00:00,20.5,0.5,,,,,,,1608.4,70.3,417.4,5016.7,247.7,2291.5,4407,194,1057.9,,,33.8,3,932.7,4.7
Riyadh - Al Uyaynah,24.914186,46.415423,01/03/2018 00:00:00,23.5,0.5,,,,,,,2257.6,87.9,656.7,5993.2,243.9,2384.9,6376,207.9,1172.4,,,20.5,3,930.4,4.6
Riyadh - Al Uyaynah,24.914186,46.415423,01/04/2018 00:00:00,24.3,0.5,,,,,,,3366.9,185.7,789.8,3479.8,244.6,2098.5,6090.3,361.5,1527.3,,,33.7,3,927.7,4.7
Riyadh - Al Uyaynah,24.914186,46.415423,01/05/2018 00:00:00,30.8,0.5,,,,,,,3572.1,263.1,729.5,4648.2,398.5,1903.5,7272.4,460.2,961.7,,,20.2,3,925.2,4.6
Riyadh - Al Uyaynah,24.914186,46.415423,01/06/2018 00:00:00,35.2,0.5,,,,,,,3226.5,248,678.5,6009.9,432.9,1315.3,7924.2,478.5,328.1,,,13.2,3,921.4,4.6
Riyadh - Al Uyaynah,24.914186,46.415423,01/07/2018 00:00:00,35.9,0.5,,,,,,,2879.1,214.1,593.3,6290.7,450,1333.8,7788,473.7,473.9,,,12.1,3,919,4.6
Riyadh - Al Uyaynah,24.914186,46.415423,01/08/2018 00:00:00,34.6,0.5,,,,,,,,,,,,,,,,,,9.4,3,921.9,4.7
Riyadh - Al Uyaynah,24.914186,46.415423,01/09/2018 00:00:00,34.2,0.5,,,,,,,2392.5,179.5,352.6,5974.7,438.5,994.4,6685.3,418.9,361.5,,,14.1,3,924.8,4.6
Riyadh - Al Uyaynah,24.914186,46.415423,01/10/2018 00:00:00,27,0.5,,,,,,,2036.5,173.5,594,4919.8,438.6,2535.7,5214.1,374.2,1294.8,,,32,3,930.1,4.6
Riyadh - Al Uyaynah,24.914186,46.415423,01/11/2018 00:00:00,19.3,0.5,,,,,,,1946.8,151.4,451.8,3568.7,380.5,2052.8,3963,284.8,908.3,,,65.7,3,931.8,4.6
Riyadh - Al Uyaynah,24.914186,46.415423,01/12/2018 00:00:00,16.8,0.5,,,,,,,1478.6,116.9,354.4,4979.8,378.1,1550.9,4066.9,260.1,622.7,,,56.2,3,933.1,4.6
Riyadh - Al Uyaynah,24.914186,46.415423,01/01/2019 00:00:00,16.5,0.5,,,,,,,2112.7,73.8,575,3928.6,167.7,1518.9,4303.6,132.3,340.6,,,34.3,3,933.6,4.6
Riyadh - Al Uyaynah,24.914186,46.415423,01/02/2019 00:00:00,16,0.5,,,,,,,2095.5,83.1,773.6,4956.6,238.8,2581.8,5053.4,166.5,850.7,,,35.8,3,932.2,4.7
Riyadh - Al Uyaynah,24.914186,46.415423,01/03/2019 00:00:00,18,0.6,,,,,,,2423.4,130.2,1028.4,5739.8,313.7,2879.8,6258,245.2,910.7,,,24.7,3.7,930.2,5.7
Riyadh - Al Uyaynah,24.914186,46.415423,01/04/2019 00:00:00,23.8,0.5,,,,,,,3087.7,610.4,828.6,4410.8,1178.8,2526.5,6419.2,1226.1,1264,,,33.9,3,927.5,4.7
Riyadh - Al Uyaynah,24.914186,46.415423,01/05/2019 00:00:00,31,0.5,,,,,,,3199.8,795.9,767.4,4496.8,1508.8,2367.9,6716.5,1545.2,1432,,,23,3,925.9,4.6
Riyadh - Al Uyaynah,24.914186,46.415423,01/06/2019 00:00:00,35.9,0.5,,,,,,,2728.5,828.2,813.7,6546.6,1586.9,1898.3,7736.6,1591.8,575.3,,,12.3,3,922.3,4.6
Riyadh - Al Uyaynah,24.914186,46.415423,01/07/2019 00:00:00,36,0.5,,,,,,,2373.6,298.4,688.2,7468.7,1520.9,1543.5,8013.5,1548.2,357.8,,,12.1,3,919.5,4.6
Riyadh - Al Uyaynah,24.914186,46.415423,01/08/2019 00:00:00,35.3,0.5,,,,,,,2153,183.3,517.9,7432.9,500.6,1143,7662.6,464.2,291.8,,,12.4,3,920.7,4.6
Riyadh - Al Uyaynah,24.914186,46.415423,01/09/2019 00:00:00,33.8,0.5,,,,,,,2007.3,167.8,476.6,6855.1,505.7,1161.4,6840,426.6,338.9,,,15.6,3,924.3,4.6
Riyadh - Al Uyaynah,24.914186,46.415423,01/10/2019 00:00:00,29.7,0.6,,,,,,,1816.3,149.9,374.2,6394.3,531.9,1002.7,5876.7,396.1,293.6,,,24.5,3.4,,
