Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Al Wajh Technical Institute Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Al Wajh - TVTC,26.256,36.443,01/01/2017 00:00:00,19.5,0.5,335,4,2.9,0.1,1.4,,1323.6,457.4,459.7,5446,1488.6,2063,4200.7,1006.9,501.8,13.1,0.1,47.2,3,1013.9,5.1
Al Wajh - TVTC,26.256,36.443,01/02/2017 00:00:00,19.3,0.5,333,4,3,0.1,1.4,,1525.6,488.3,550.7,6045.2,1647.9,1632.9,5057.4,1168.4,418.9,12.5,0.1,35.9,3,1014.3,5.1
Al Wajh - TVTC,26.256,36.443,01/03/2017 00:00:00,21.7,0.5,312,4,2.9,0.1,1.7,,1725,687.6,747.5,5803.6,1776.5,2028,5541.5,1339.3,787,12.5,0.1,52.4,3,1009.5,5.1
Al Wajh - TVTC,26.256,36.443,01/04/2017 00:00:00,25.3,0.5,,,,,,,2389.2,697.5,894.3,5170.5,1783.4,2787.4,6136.7,1433.2,1321.8,,,58,3,1007.1,5
Al Wajh - TVTC,26.256,36.443,01/05/2017 00:00:00,27.5,0.5,,,,,,,2143.7,613.6,805.4,6746.4,1769.2,1828.1,7123.6,1481.3,422.9,,,64,3,1005.3,5
Al Wajh - TVTC,26.256,36.443,01/06/2017 00:00:00,28.4,0.5,,,,,,,1764.6,456.2,376.7,7613.1,1756.2,876.7,7393.5,1468.4,151.5,,,69.4,3,1001.6,5
Al Wajh - TVTC,26.256,36.443,01/09/2017 00:00:00,28.8,0.5,,,,,,,2181.9,189.9,432.4,5805.2,414.6,903.7,6284.2,418,283.5,,,74.5,3,1003.6,5
Al Wajh - TVTC,26.256,36.443,01/10/2017 00:00:00,26.2,0.5,,,,,,,1221.8,99.4,305.7,7260.9,488,939,5634,350.8,400.9,,,66.3,3,1007.3,5
Al Wajh - TVTC,26.256,36.443,01/11/2017 00:00:00,24.2,0.5,330,3.8,2.6,0.1,1.4,,1275.5,62.7,501.3,6355.6,240.1,1926.3,4630.7,145.3,589.2,13.1,0.1,50.1,3,1011.1,5
Al Wajh - TVTC,26.256,36.443,01/03/2018 00:00:00,24.1,0.5,313,4,2.7,0.1,1.7,,1793.9,98.9,833.1,7248.1,285.7,2343.9,6522.6,225.1,695.7,13.9,0.1,55.3,3,1009.5,5.1
Al Wajh - TVTC,26.256,36.443,01/04/2018 00:00:00,25.3,0.5,297,4,2.7,0.1,1.5,,2354.4,101.3,719.3,6860.2,280.1,1764,7375.2,266.5,502,12.5,0.1,56.4,3,1007.2,5
Al Wajh - TVTC,26.256,36.443,01/05/2018 00:00:00,29.8,0.5,301,4,2.8,0.1,1.8,,2985.8,117.5,911,5446.4,258.5,2505.1,7155.7,226.6,1047.1,15.2,0.1,48.4,3,1005.1,5
Al Wajh - TVTC,26.256,36.443,01/06/2018 00:00:00,30.1,0.5,308,3.7,3.1,0.1,1.7,,2297,104.4,808.2,7721.7,261,1791.1,8075.8,225.8,378,12.5,0.1,58.8,3,1003.2,5
Al Wajh - TVTC,26.256,36.443,01/07/2018 00:00:00,30.8,0.5,,,,,,,2021.9,230.7,900.4,7514.8,563.9,1815.8,7584.6,464.8,295.7,,,67.4,3,1001,5
