Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Arar Technical Institute Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Arar - TVTC,31.027395,40.906419,01/01/2017 00:00:00,8.1,0.5,349,4,2.8,0.1,2.4,,1302.8,356.8,498.1,4734.2,1373.1,2294.8,3512.9,825.9,707.3,17.9,0.1,50.1,3,952.2,4.8
Arar - TVTC,31.027395,40.906419,01/02/2017 00:00:00,9,0.5,11,4,3.4,0.1,2.4,,1425.7,420.9,509.8,5677.6,1733.4,1666.4,4507.6,1079.2,426.5,17.1,0.1,27.3,3,952.7,4.8
Arar - TVTC,31.027395,40.906419,01/03/2017 00:00:00,16.2,0.5,45,4,4.1,0.1,2.6,,2247,657.8,956.2,5276.1,1633.1,2776.6,5568.1,1210.8,1091.4,22.9,0.1,41.1,3,946.8,4.8
Arar - TVTC,31.027395,40.906419,01/04/2017 00:00:00,21.7,0.5,29,4,4,0.1,2.2,,2775.9,787.5,969.9,4632.1,1725.8,2930.5,6069.7,1403.2,1337,21.3,0.1,26,3,947.9,4.8
Arar - TVTC,31.027395,40.906419,01/05/2017 00:00:00,28.4,0.5,304,4,4.1,0.1,2.1,,2414.8,791.8,793.5,6512.4,1706.9,2049.9,7301,1493.9,494.9,24.2,0.1,15.7,3,944.8,4.7
Arar - TVTC,31.027395,40.906419,01/06/2017 00:00:00,32.7,0.5,311,4,3.6,0.1,1.9,,,,,,,,,,,15.2,0.1,12.2,3,942.2,4.8
Arar - TVTC,31.027395,40.906419,01/11/2017 00:00:00,16.7,0.5,55,4,3.3,0.1,2,,1737.8,651,693,4327.1,1413.1,2157,3901.3,854.6,544.2,20.5,0.1,40.2,3,950.5,4.8
Arar - TVTC,31.027395,40.906419,01/03/2018 00:00:00,20.6,0.5,286,4,3.6,0.1,2.3,,2377.8,112.1,929.2,5717.1,222.7,2399.1,6026.1,190.1,606.2,17.6,0.1,23.7,3,947.5,4.8
Arar - TVTC,31.027395,40.906419,01/04/2018 00:00:00,22,0.5,341,4,3.9,0.1,2.5,,2498.6,133.8,994.2,6174.8,277.7,2998.3,6818.8,221.4,1217.7,24.2,0.1,27.2,3,945,4.7
Arar - TVTC,31.027395,40.906419,01/05/2018 00:00:00,27.3,0.5,351,4,4.3,0.1,2.6,,2895.7,135.6,1134.4,5711.9,267.7,3282.2,7092.7,220.3,1573.8,24.5,0.1,25.5,3,944,4.7
Arar - TVTC,31.027395,40.906419,01/06/2018 00:00:00,32,0.5,324,4,4.5,0.1,2.1,,2239,86.5,637.3,8282.5,279,1489.6,8380.7,243.4,360.1,17.1,0.1,15.4,3,941.4,4.7
Arar - TVTC,31.027395,40.906419,01/07/2018 00:00:00,33.6,0.5,307,3.7,4.4,0.1,2,,1892.3,76.8,548.3,8928.8,277.7,1068.2,8347.3,261.7,180,16.3,0.1,15,3,939,4.7
Arar - TVTC,31.027395,40.906419,01/08/2018 00:00:00,33.2,0.5,303,4.2,3.9,0.1,1.8,,1359.3,80.1,327.8,9382.7,436.7,945.3,7877.4,389.8,341.3,17.6,0.1,17,3.2,940.1,5
Arar - TVTC,31.027395,40.906419,01/09/2018 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
Arar - TVTC,31.027395,40.906419,01/11/2018 00:00:00,14.7,0.5,88,4,2.6,0.1,2,,1513.2,58.9,527.1,3155,180.3,2446.9,3071.3,110.9,1086.1,17.9,0.1,75,3,950.6,4.8
Arar - TVTC,31.027395,40.906419,01/12/2018 00:00:00,11.7,0.5,261,4,2.7,0.1,2.1,,1226.3,44.9,525.9,4918.7,201.9,2589.2,3390,98.4,631.4,17.1,0.1,66.5,3,951.8,4.8
Arar - TVTC,31.027395,40.906419,01/01/2019 00:00:00,9.2,0.5,241,4,3.7,0.1,2.9,,1518.7,51.4,468.2,4083.5,194.4,2361.6,3484.3,109.9,927.6,23.7,0.1,55.5,3,950.5,4.8
Arar - TVTC,31.027395,40.906419,01/02/2019 00:00:00,11.2,0.5,321,4,3.2,0.1,2.5,,1491,64.2,606.9,6024.6,240.1,2310.5,4767.2,138.7,788,18.4,0.1,54.4,3,950.6,4.8
Arar - TVTC,31.027395,40.906419,01/03/2019 00:00:00,14.4,0.5,301,4,4.3,0.1,2.8,,1759.4,87.9,839.5,6874,252,2720.5,5977.9,180.7,990.7,23.5,0.1,38.3,3,947.3,4.8
Arar - TVTC,31.027395,40.906419,01/04/2019 00:00:00,19.4,0.5,335,4,3.8,0.1,2.7,,2353.1,612.7,847,6130.7,1334.5,2338.2,6677.9,1185.5,876.7,21,0.1,33.3,3,946.8,4.8
Arar - TVTC,31.027395,40.906419,01/05/2019 00:00:00,29.5,0.5,24,4,4.1,0.1,2.4,,2436.9,664.6,682,6413.1,1878.3,1896.7,7228.4,1525.2,679.1,21.3,0.1,13.8,3,944.8,4.7
Arar - TVTC,31.027395,40.906419,01/06/2019 00:00:00,33.8,0.5,324,4,4.4,0.1,2.5,,2142.5,735.3,753,7696.6,1868.1,1814.3,7792.8,1590.2,546.6,23.5,0.1,13,3,941.8,4.7
Arar - TVTC,31.027395,40.906419,01/07/2019 00:00:00,33.9,0.5,315,4,4,0.1,1.9,,1512.2,107.9,498.3,9517,718.7,1194.6,8295.1,625.2,362.2,16.5,0.1,13,3,939.1,4.7
Arar - TVTC,31.027395,40.906419,01/08/2019 00:00:00,34.2,0.5,295,4,4.6,0.1,2.1,,1847.9,79.9,536.4,7884,387.4,1379.7,7449.2,351.4,415.8,17.9,0.1,14.7,3,939.9,4.7
Arar - TVTC,31.027395,40.906419,01/09/2019 00:00:00,31.8,0.5,11,4,3.5,0.1,1.8,,1730.1,56.9,393.2,7316.8,250.9,1164.5,6579.7,197.7,412.2,12.8,0.1,16,3,943.2,4.7
Arar - TVTC,31.027395,40.906419,01/10/2019 00:00:00,25.9,0.5,35,4.1,3.3,0.1,2.2,,1919.6,79.1,544.2,4585.6,224.1,2040.2,4677.5,183.5,943.1,20.8,0.1,33.3,3.2,947.2,5
Arar - TVTC,31.027395,40.906419,01/11/2019 00:00:00,16.3,0.5,57,4,3.3,0.1,2.2,,1386.6,53.4,458.3,5025,233.3,2273.9,3861.5,124.5,736.2,13.1,0.1,42.8,3,950.9,4.8
Arar - TVTC,31.027395,40.906419,01/12/2019 00:00:00,11.3,0.5,298,4,2.7,0.1,2.3,,1018.9,40.3,383,5810.8,220.3,2081.4,3586.5,113.7,526,19.7,0.1,52.7,3,950.5,4.8
Arar - TVTC,31.027395,40.906419,01/12/2020 00:00:00,11.1,0.5,111,3.7,2.2,0.1,2.1,,1135.5,276.9,361.1,4234.8,1311.9,2436.8,3033.7,715,1034.1,13.1,0.1,60.2,3,952.3,4.7
Arar - TVTC,31.027395,40.906419,01/01/2021 00:00:00,10.3,0.5,300,3.7,2.6,0.1,2.5,,1205,340.5,486.5,5599.4,1568.7,2450.3,3818,870.9,752.3,17.6,0.1,45,3,952.5,4.7
Arar - TVTC,31.027395,40.906419,01/02/2021 00:00:00,12.8,0.5,41,3.7,4,0.1,2.6,,1431.8,536,711.6,5623.1,1678.9,3013.7,4494.1,1100,1366.9,17.3,0.1,47.6,3,950.9,4.7
