Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Duba Technical Institute Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Duba - TVTC,27.34103,35.72295,01/01/2017 00:00:00,20.1,0.5,308,4,2.3,0,1.3,,1299,347.5,522.2,5473,1531,2302.6,4044.4,925.8,717.7,11.5,0.1,40.8,3,1013.4,5.1
Duba - TVTC,27.34103,35.72295,01/02/2017 00:00:00,19.9,0.5,319,4,2.5,0.1,1.5,,1447.2,549.3,681.8,6666.4,1735.6,1948.3,5226.7,1108.2,491.5,12.3,0.1,33.5,3,1014,5.1
Duba - TVTC,27.34103,35.72295,01/03/2017 00:00:00,22.7,0.5,282,4,2.3,0,1.5,,1688.2,581,793.8,6797.4,1686.4,2344.9,6089.8,1287.9,828.1,11.2,0.1,45.1,3,1008.9,5.1
Duba - TVTC,27.34103,35.72295,01/04/2017 00:00:00,27.3,0.5,285,4,2.7,0.1,1.7,,2330.9,715,965.5,5691.7,1785.4,2746.2,6394.9,1430.7,1235.7,14.7,0.1,43,3,1007.8,5.1
Duba - TVTC,27.34103,35.72295,01/05/2017 00:00:00,30,0.5,279,4,2.3,0.1,1.5,,1884.1,603.2,767,7278.6,1772.5,1730.9,7236.6,1477.4,361.5,11.5,0.1,46.8,3,1006.3,5
Duba - TVTC,27.34103,35.72295,01/06/2017 00:00:00,32.8,0.5,288,4,2.8,0.1,1.7,,1497.4,436.4,429.7,8077.4,1795.2,1010.9,7382,1456.2,188.9,13.1,0.1,42.2,3,1002.4,5
Duba - TVTC,27.34103,35.72295,01/09/2017 00:00:00,31.5,0.5,281,4,2.2,0,1.3,,1794.8,203.4,377.8,6679.9,506.5,896.8,6391.5,531.7,283.9,10.4,0.1,54.7,3,1004.5,5
Duba - TVTC,27.34103,35.72295,01/10/2017 00:00:00,27.8,0.5,289,3.7,2.2,0,1.3,,1066.2,84.4,285.8,7652.5,508.6,877.4,5606.5,346.7,366.3,10.7,0.1,52.5,3,1008.1,5
Duba - TVTC,27.34103,35.72295,01/11/2017 00:00:00,24.9,0.5,309,4,2.3,0,1.3,,1155.1,137,513.3,6349.7,493.8,1914.7,4452.6,298.7,536.9,10.7,0.1,45.2,3,1010.5,5.1
Duba - TVTC,27.34103,35.72295,01/03/2018 00:00:00,25.3,0.5,273,4,2.2,0,1.5,,1788.4,183.7,889.4,7121.2,566.8,2291.7,6387.1,410.6,570,12.5,0.1,42.9,3,1008.7,5
