Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Imam Abdulrahman Bin Faisal University Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Dammam - IAFU,26.394974,50.188715,01/01/2017 00:00:00,16.9,0.5,316,4,3.1,0.1,1.6,,1650.3,401.2,456.9,3329.7,925.5,1630.7,3406.4,781,497.1,13.9,0.1,61.2,3,1016.7,5.1
Dammam - IAFU,26.394974,50.188715,01/02/2017 00:00:00,15.3,0.5,331,4,3.1,0.1,1.7,,1811.4,531.1,561.4,3093.4,1333,2505.4,3697.9,1077.2,1610.2,15.7,0.1,59.1,3,1017.7,5.1
Dammam - IAFU,26.394974,50.188715,01/03/2017 00:00:00,20.5,0.5,25,4,2.8,0.1,1.6,,2367.4,658.9,799.5,2678.7,1234.5,2338.9,4194,1131,1673.9,16.5,0.1,61.7,3,1012,5.1
Dammam - IAFU,26.394974,50.188715,01/04/2017 00:00:00,26.9,0.5,355,4,3.3,0.1,1.9,,2837.3,716.1,820.2,4293.9,1607,2047.4,6012.5,1378,719.7,17.9,0.1,43.3,3,1009.4,5.1
Dammam - IAFU,26.394974,50.188715,01/05/2017 00:00:00,32.3,0.5,344,4,3.6,0.1,1.9,,2971,728.4,619,3669.4,1155.8,1156.8,5818.6,1292,451,17.9,0.1,34.6,3,1004.7,5
Dammam - IAFU,26.394974,50.188715,01/06/2017 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
Dammam - IAFU,26.394974,50.188715,01/09/2017 00:00:00,33.6,0.5,83,4,2.2,0,1.1,,2215.5,98.4,406.3,5997.2,250.2,1067.2,6432.2,249.7,387.4,9.3,0.1,54.6,3,1003.5,5
Dammam - IAFU,26.394974,50.188715,01/10/2017 00:00:00,30.7,0.5,,,,,,,1668.8,137.6,361.3,5632.9,414.2,923.2,5198.4,340.1,328,,,59.7,3,1008.7,5.1
Dammam - IAFU,26.394974,50.188715,01/11/2017 00:00:00,24.5,0.5,330,4,2.6,0.1,1.3,,1651.3,95.4,496.7,4544.7,254.2,2067.7,4137.7,194,929.3,12.5,0.1,51.5,3,1014.5,5.1
Dammam - IAFU,26.394974,50.188715,01/03/2018 00:00:00,23.8,0.5,1,1,2.7,0.1,1.7,,2315.9,90.6,723.6,5841.9,223.7,2075.9,6251.9,211.6,760.6,16,0.1,44.6,3,1011.7,5.1
Dammam - IAFU,26.394974,50.188715,01/04/2018 00:00:00,25.9,0.5,15,4,3.1,0.1,1.7,,3132.6,109.3,749.9,3279.8,223.5,2408,5642.3,205.9,1529.4,18.4,0.1,47.7,3,1008.5,5.1
Dammam - IAFU,26.394974,50.188715,01/05/2018 00:00:00,30.9,0.5,24,4,2.6,0.1,1.6,,3409.9,110.1,778.9,4513,207,2181.2,6885.3,206.1,961.5,16.5,0.1,38.7,3,1005.3,5
Dammam - IAFU,26.394974,50.188715,01/06/2018 00:00:00,35.7,0.5,334,4,3.7,0.1,1.9,,2649.2,85.6,500.9,6889.6,245.2,1096.9,7999.6,225.6,274.7,17.1,0.1,30.4,3,998.2,5
Dammam - IAFU,26.394974,50.188715,01/07/2018 00:00:00,36.1,0.5,335,4,3.3,0.1,1.9,,2855.1,97.3,612,6132,214,1386.6,7608.6,230.5,390.9,16,0.1,33.1,3,994.8,5
Dammam - IAFU,26.394974,50.188715,01/08/2018 00:00:00,35.5,0.5,332,4,1,0.1,1.9,,2406.7,82.4,534.2,6500.8,224.5,1379.3,7271.1,212.4,465.8,15.5,0.1,36.3,3,997.1,5
Dammam - IAFU,26.394974,50.188715,01/09/2018 00:00:00,34.8,0.5,,,,,,,2129.1,149.2,353.6,5153.2,411.8,993.7,5821.7,374.6,421.7,,,61.6,3,1002.6,5
Dammam - IAFU,26.394974,50.188715,01/10/2018 00:00:00,29.6,0.5,54,0,0,0,0,,2182,65,300.5,4403.9,139.9,1277.7,5034.3,141.8,722.5,0.5,0,54.9,3,1011.3,5
