Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Jazan University Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Jazan - University,16.96035,42.545865,01/01/2017 00:00:00,26.4,0.5,331,3.7,2.8,0.1,1.7,,1898.2,503.2,463.7,4808.7,940,1208.1,4845.9,946.5,228.5,9.9,0.1,75.7,3,1013.9,5
Jazan - University,16.96035,42.545865,01/02/2017 00:00:00,26.6,0.6,344,4.8,3.1,0.1,1.7,,2707,776.1,370.5,2575.1,1077.8,1401.3,4480.2,1279.2,919.9,13.3,0.1,73.7,3.7,1013.3,6.2
Jazan - University,16.96035,42.545865,01/05/2017 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
Jazan - University,16.96035,42.545865,01/09/2017 00:00:00,32.8,0.5,36,4,3,0.1,1.8,,2719.6,191.2,261.6,4304,322.2,624.8,6127.2,412.2,296.2,16.8,0.1,70.6,3,1005.7,5
Jazan - University,16.96035,42.545865,01/10/2017 00:00:00,31.4,0.5,40,4,3,0.1,1.9,,2056.1,144.2,281,5247.3,350.7,691.2,5777.2,357.2,314.7,12,0.1,71.2,3,1009,5.1
Jazan - University,16.96035,42.545865,01/11/2017 00:00:00,29.3,0.5,330,4,2.9,0.1,1.6,,1890.4,152,274.7,4789.9,395.3,1013.4,4930.5,386.6,421.2,10.1,0.1,68.3,3,1011.7,5.1
Jazan - University,16.96035,42.545865,01/03/2018 00:00:00,28.2,0.5,359,4,3,0.1,1.9,,2313.2,163.3,306.3,5432.7,389.8,839.5,6358.3,427.6,332.1,11.5,0.1,69.3,3,1010.3,5.1
Jazan - University,16.96035,42.545865,01/04/2018 00:00:00,30.8,0.5,29,4,3.2,0.1,1.8,,2756.7,256.5,656.3,4729.8,387.9,1536.6,6438.9,419.6,494.1,14.1,0.1,67.3,3,1007.8,5
Jazan - University,16.96035,42.545865,01/05/2018 00:00:00,32.2,0.5,25,4,3.1,0.1,1.9,,3065.2,233.3,598.7,4422.6,351.8,1161.5,6626.3,409,294.4,11.5,0.1,65.3,3,1005.9,5
Jazan - University,16.96035,42.545865,01/06/2018 00:00:00,33.4,0.5,38,4,3.4,0.1,2,,3795.9,272.6,577.2,2355.7,300,1363.5,5771.5,428.3,751.9,16.5,0.1,64.7,3,1003.3,5
Jazan - University,16.96035,42.545865,01/07/2018 00:00:00,33.6,0.5,54,3.7,3.1,0.1,2.7,,3912.7,246.7,285.8,1901.7,176.9,677.6,5564.3,354.4,541.1,16.5,0.1,62.7,3,1003.3,5
Jazan - University,16.96035,42.545865,01/08/2018 00:00:00,33.1,0.5,58,4,0.9,0.1,1.9,,3454.5,227.2,324.6,2489.2,201.7,745.4,5592.4,359.5,535.9,14.7,0.1,66.9,3,1003.9,5
Jazan - University,16.96035,42.545865,01/09/2018 00:00:00,33.1,0.5,356,4,0.2,0,0.9,,2776.4,193.3,341.3,4092,295,855.4,6013.7,373.6,309.8,8.8,0,68.8,3,1006,5
Jazan - University,16.96035,42.545865,01/10/2018 00:00:00,31,0.5,0,0,0,0,0,,2103.8,153.1,410.8,4681.1,380.4,1523.5,5312.8,350.7,956.9,0,0,69.3,3,1009.9,5
Jazan - University,16.96035,42.545865,01/01/2019 00:00:00,26.5,0.5,0,0,0,0,0,,2345.3,175.2,369,3542.5,290.4,1123.7,4555,296.7,410.2,0,0,75.3,3,1014.3,5.1
Jazan - University,16.96035,42.545865,01/02/2019 00:00:00,27.1,0.5,0,0,0,0,0,,2780.7,195.1,329.4,3202.9,263.2,1103.9,5009.4,330.5,500.1,0,0,72.5,3,1012.8,5.1
Jazan - University,16.96035,42.545865,01/03/2019 00:00:00,28,0.5,0,0,0,0,0,,2850.6,209.6,460.5,3932.9,321.2,1374,5803.7,381.8,766.7,0,0,69.4,3,1011.3,5.1
Jazan - University,16.96035,42.545865,01/04/2019 00:00:00,30.3,0.5,0,0,0,0,0,,2973.3,692.2,648.3,4159.3,791.5,1500.6,6218.7,1153.3,505.6,0,0,69.9,3,1008.8,5.1
Jazan - University,16.96035,42.545865,01/05/2019 00:00:00,32.9,0.5,0,0,0,0,0,,2598,607.4,464.2,4736.9,1157,975.6,6336.4,1290,393.3,0,0,58.4,3,1007,5
Jazan - University,16.96035,42.545865,01/06/2019 00:00:00,33.8,0.5,0,0,0,0,0,,3270.2,778.2,466.9,3108.3,814.9,692.4,5858.4,1245.3,458.5,0,0,66,3,1003.7,5
Jazan - University,16.96035,42.545865,01/07/2019 00:00:00,33.8,0.5,0,0,0,0,0,,3737.2,761.7,456,2264.7,258.2,1080,5692.1,987.7,595.7,0,0,62.9,3,1002.2,5
Jazan - University,16.96035,42.545865,01/08/2019 00:00:00,32.4,0.5,276,0,0,0,0.3,,3286.6,225.2,469.4,2389.9,231.4,1299.2,5297,398.2,1172.8,10.7,0,67.5,3,1004.8,5
Jazan - University,16.96035,42.545865,01/09/2019 00:00:00,32.5,0.5,0,0,0,0,0,,2756.8,210.5,464.3,3856.2,328.9,1142.7,5832.6,384.5,568.2,0,0,68.1,3,1004.9,5
Jazan - University,16.96035,42.545865,01/10/2019 00:00:00,30.9,0.5,0,0,0,0,0,,1948.9,154.7,349.3,4979.8,383.2,1375.6,5463.7,373.7,667.7,0,0,65.4,3,1009.4,5
Jazan - University,16.96035,42.545865,01/11/2019 00:00:00,29.3,0.5,215,0,0,0,0,,1881.3,156.2,371.9,4659,358.4,1320.7,4841.9,319.1,710.9,11.5,0,63.9,3,1010.6,5.1
Jazan - University,16.96035,42.545865,01/12/2019 00:00:00,27.8,0.5,350,0,0,0,0,,1920.6,136.1,335,4072.9,332.9,1080.2,4326.8,276.7,387,1.1,0,60.2,3,1012.5,5.1
Jazan - University,16.96035,42.545865,01/01/2020 00:00:00,26.3,0.5,176,4,0.3,0,1.1,,1938.8,473.3,422.8,4213.2,1255.2,1667.4,4546.7,989.7,768.8,8.8,0,62.6,3,1014.6,5.1
Jazan - University,16.96035,42.545865,01/02/2020 00:00:00,26.8,0.5,292,4,3.2,0.1,1.8,,2796.9,760.6,551.6,3092.3,1043.1,1403,4908.3,1109.3,611.5,11.5,0.1,63.9,3,1013.8,5.1
Jazan - University,16.96035,42.545865,01/03/2020 00:00:00,28.1,0.5,23,3.8,3.3,0.1,1.8,,2985.8,711.4,509,3471.4,1129.9,1595.4,5625.9,1246.6,831.7,12.5,0.1,64.9,3,1010.4,5
Jazan - University,16.96035,42.545865,01/04/2020 00:00:00,30.8,0.5,16,4,3.3,0.1,1.7,,2487.2,673.6,676.5,5109,1499.9,1804.8,6391.6,1370.4,697.6,10.1,0.1,66,3,1008.9,5.1
Jazan - University,16.96035,42.545865,01/09/2020 00:00:00,32.7,0.5,308,4,2.6,0.1,2,,2576.3,192.9,402,4338.2,340.2,901.5,5985.6,372.8,349.3,17.6,0.1,68.5,3,1004.8,5
Jazan - University,16.96035,42.545865,01/10/2020 00:00:00,31.4,0.5,291,4,2.7,0.1,1.9,,1720.7,245.4,265.4,5828.1,937.9,578.1,5765,858,261.7,12.5,0.1,66.3,3,1009,5.1
