Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
K.A.CARE Building Olaya St Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Riyadh - K.A.CARE HQ,24.707744,46.6792,01/01/2017 00:00:00,17.1,0.5,35,3.7,2.6,0,1.2,,1584.2,458.1,564.6,4669.2,1196.4,2014.7,4098.6,944.8,698.6,12,0.1,33.9,3,941.6,4.7
Riyadh - K.A.CARE HQ,24.707744,46.6792,01/02/2017 00:00:00,14.6,0.5,40,4,2.7,0,1.3,,2143.2,528.3,553.7,3405.3,1486,2493.3,4242.8,1139,1246.4,14.7,0.1,41.5,3,942.2,4.7
Riyadh - K.A.CARE HQ,24.707744,46.6792,01/03/2017 00:00:00,22.3,0.5,117,4,3.1,0.1,1.3,,2674.1,694,645.9,3030.1,1116.9,2139,4810.7,1196.6,1303.7,18.7,0.1,36.8,3,937.6,4.7
Riyadh - K.A.CARE HQ,24.707744,46.6792,01/04/2017 00:00:00,30.2,0.5,96,4,3.1,0.1,1.4,,3096.4,825.2,615.9,4439.3,1321.3,1910.1,6469.9,1451.9,940.3,20,0.1,19.4,3,937.4,4.7
Riyadh - K.A.CARE HQ,24.707744,46.6792,01/05/2017 00:00:00,35.4,0.5,67,4,3,0.1,1.5,,3515.4,867.3,619.9,3740.9,1042.1,1363.1,6540.2,1386.2,547.1,17.6,0.1,17.1,3,934.6,4.7
Riyadh - K.A.CARE HQ,24.707744,46.6792,01/06/2017 00:00:00,38.1,0.5,350,4,3.4,0.1,1.7,,2536.9,809.1,780.2,6475.5,1630.8,1642,7492.8,1559.6,394.9,16.8,0.1,9.9,3,931.1,4.7
Riyadh - K.A.CARE HQ,24.707744,46.6792,01/09/2017 00:00:00,36.2,0.5,10,4,2.6,0.1,1.3,,2089.3,221.4,338.2,6434,566,866.7,6676.1,630.4,332.9,16,0.1,10.9,3,933.6,4.7
Riyadh - K.A.CARE HQ,24.707744,46.6792,01/10/2017 00:00:00,31.4,0.5,128,3.7,2.4,0,1.1,,1702.9,125.3,335.9,6489.5,446.2,661.2,5822.8,368.1,239.2,12.5,0.1,16.8,3,937.9,4.7
Riyadh - K.A.CARE HQ,24.707744,46.6792,01/11/2017 00:00:00,23.2,0.5,119,4,2.5,0,1,,1544.6,130.6,379.7,5084.4,422.1,2034.9,4407.8,307.6,917.4,11.5,0.1,32.7,3,941,4.7
Riyadh - K.A.CARE HQ,24.707744,46.6792,01/03/2018 00:00:00,26.2,0.5,117,4,2.7,0.1,1.4,,2322.3,186.2,706.3,5757.1,510.4,2179.6,6302.3,425.2,962.1,18.1,0.1,21.9,3,938.5,4.7
Riyadh - K.A.CARE HQ,24.707744,46.6792,01/04/2018 00:00:00,27.1,0.5,145,4,3.1,0.1,1.5,,3386.4,253.3,726.9,3416.9,353.2,1997.9,6082.4,430,1442,21.3,0.1,31.5,3,935.7,4.7
Riyadh - K.A.CARE HQ,24.707744,46.6792,01/05/2018 00:00:00,33.3,0.5,90,4,3.2,0.1,1.5,,3467.3,255.1,681.6,4535.6,385.2,1826.5,7086.7,448.3,903,19.5,0.1,16.8,3,934.2,4.7
