Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
K.A.CARE City Site Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Riyadh - K.A.CARE City T2,24.52958,46.43635,01/01/2017 00:00:00,15.5,0.5,48,4,4.1,0.1,1.5,,1592.1,457.2,588.5,5395.1,1273.2,2210.9,4453.5,957.5,690.9,14.4,0.1,35.4,3,915.1,4.6
Riyadh - K.A.CARE City T2,24.52958,46.43635,01/02/2017 00:00:00,12.5,0.5,54,4,4,0.1,1.7,,2183,544.9,566.1,3572.6,1599.8,2618.8,4382.4,1194.6,1301.2,19.5,0.1,45.5,3,915.3,4.6
Riyadh - K.A.CARE City T2,24.52958,46.43635,01/03/2017 00:00:00,19.9,0.5,86,4,5,0.1,1.9,,2812.6,789.4,765.3,3552.7,1163.2,2252.8,5313.7,1263.1,1252.7,16.3,0.1,40.5,3,911.5,4.6
Riyadh - K.A.CARE City T2,24.52958,46.43635,01/04/2017 00:00:00,27.5,0.5,72,4,4.2,0.1,1.8,,3176.3,836.1,693.6,4950.9,1569.5,2131.4,6906.3,1551.9,1057.6,16.5,0.1,20.8,3,912.2,4.6
Riyadh - K.A.CARE City T2,24.52958,46.43635,01/05/2017 00:00:00,32.1,0.5,62,4,4.1,0.1,1.7,,3651.4,897.2,742.9,4332.6,1179.8,1575.9,7135.2,1486.9,596.6,19.7,0.1,19.4,3,909.9,4.6
Riyadh - K.A.CARE City T2,24.52958,46.43635,01/06/2017 00:00:00,35,0.5,18,4,4.2,0.1,1.9,,2687.6,877.9,878.3,7045.4,1727.9,1812.8,8050.4,1614.6,425.3,15.7,0.1,10.3,3,906.8,4.5
Riyadh - K.A.CARE City T2,24.52958,46.43635,01/09/2017 00:00:00,33,0.5,43,3.7,3.3,0.1,1.5,,2178.3,237.1,368.1,6788.4,804.6,955,7016.5,780.6,358.3,15.5,0.1,11.4,3,909.2,4.5
Riyadh - K.A.CARE City T2,24.52958,46.43635,01/10/2017 00:00:00,28.3,0.5,110,4,3.5,0.1,1.3,,1682.9,125.9,341.2,7268.5,495,725.4,6247.4,403,254.1,12,0.1,17.3,3,913,4.6
Riyadh - K.A.CARE City T2,24.52958,46.43635,01/11/2017 00:00:00,20.5,0.5,98,4,3.7,0.1,1.4,,1551.5,154.7,473,5817.6,485.2,2313.4,4778.9,331,984.1,11.5,0.1,36.4,3,914.9,4.6
Riyadh - K.A.CARE City T2,24.52958,46.43635,01/03/2018 00:00:00,23.4,0.5,88,4,4.2,0.1,1.7,,2321.5,681.2,775.9,6119.7,1773.2,2222.8,6516.1,1436,834.3,15.7,0.1,24.6,3,912.7,4.6
