Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
King Abdulaziz University (Osfan Campus) Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Osfan - KAU,21.89252,39.2539,01/01/2017 00:00:00,24.4,0.5,8,4,2.9,0.1,1.6,,1567.1,390.4,333.4,4919.9,1124.3,1277.4,4327,884.2,437.2,13.1,0.1,71.7,3,1001.7,5
Osfan - KAU,21.89252,39.2539,01/02/2017 00:00:00,23.8,0.5,21,4,3.9,0.1,1.9,,2375.4,571.5,622,3136,1436.5,2355.8,4364.7,1110.3,1156.5,16.8,0.1,54.7,3,1001.3,5
Osfan - KAU,21.89252,39.2539,01/03/2017 00:00:00,25.9,0.5,357,4,3.6,0.1,1.8,,2671.2,761.4,802,4086.5,1285.7,2153.9,5568.6,1247.8,838.2,12.5,0.1,64,3,997.8,5
Osfan - KAU,21.89252,39.2539,01/04/2017 00:00:00,30.2,0.5,344,4,3.8,0.1,2.1,,2994.4,690.9,507.6,4025.6,1243.3,1233,6123.2,1277.3,477.3,18.4,0.1,53.4,3,996.6,5
Osfan - KAU,21.89252,39.2539,01/05/2017 00:00:00,32.7,0.5,354,4,3.6,0.1,1.8,,2983.5,716.5,527.6,4517.1,1189.6,1411.3,6547.2,1369.3,646.8,16.5,0.1,49.6,3,995.2,5
Osfan - KAU,21.89252,39.2539,01/06/2017 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
Osfan - KAU,21.89252,39.2539,01/10/2017 00:00:00,30.6,0.5,352,4,2.7,0.1,1.4,,1764.7,117.5,209.3,5868.9,393.1,659.1,5653.9,349.7,337.8,11.5,0.1,72.4,3,996.7,5
Osfan - KAU,21.89252,39.2539,01/11/2017 00:00:00,28.1,0.5,5,4,3,0.1,1.5,,1781.3,132.6,346.1,4614.5,357.4,1320.3,4491.7,290,510.9,15.2,0.1,69.8,3,999.3,5
Osfan - KAU,21.89252,39.2539,01/03/2018 00:00:00,28.2,0.5,341,4,3.2,0.1,1.9,,2231.4,213.3,725.3,6115,483.7,1728.9,6460.5,415.4,463.5,17.3,0.1,49.9,3,997.8,5
Osfan - KAU,21.89252,39.2539,01/04/2018 00:00:00,29.4,0.5,358,4,3.2,0.1,1.7,,2679.4,225.5,694.3,5946.1,540.2,1599.6,7129.6,476,483.7,14.4,0.1,46.2,3,995.7,5
