Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
King Abdulaziz University Main Campus Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Jeddah - KAU,21.49604,39.24492,01/01/2017 00:00:00,25.6,0.5,329,4,3.4,0.1,1.8,,1566.2,404.5,325.6,4609.3,1027.2,1145.1,4179.9,832.1,326,15.2,0.1,80,3,1007.6,5
Jeddah - KAU,21.49604,39.24492,01/02/2017 00:00:00,24.8,0.5,337,4,4.4,0.1,2.3,,2134.6,535.3,522.7,2999.4,1272.9,2106.7,4052.3,1043.5,1106.4,19.7,0.1,63.8,3,1007.1,5
Jeddah - KAU,21.49604,39.24492,01/03/2017 00:00:00,26.8,0.5,323,4,4.1,0.1,2.2,,2542.8,705.5,716.2,3507.3,1099,1893.9,5072.3,1122.5,736.4,15.7,0.1,72.5,3,1003.5,5
Jeddah - KAU,21.49604,39.24492,01/04/2017 00:00:00,30.9,0.5,322,4,4.2,0.1,2.3,,2830.8,711.2,557,3692.8,1095.2,1113.2,5700.8,1208.2,475,17.6,0.1,60.5,3,1002.2,5
Jeddah - KAU,21.49604,39.24492,01/05/2017 00:00:00,33.5,0.5,320,4,4.2,0.1,2.4,,2791.6,650.6,405.7,4368,1101.9,1053.2,6236,1298.3,467.1,18.4,0.1,55.1,3,1000.6,5
Jeddah - KAU,21.49604,39.24492,01/06/2017 00:00:00,33.7,0.5,318,4,3.9,0.1,2,,2515.2,684.7,557.3,5244.5,1482.8,1385.5,6628,1433.3,337,17.6,0.1,65,3,996.9,5
Jeddah - KAU,21.49604,39.24492,01/09/2017 00:00:00,33.9,0.5,317,3.7,3.6,0.1,1.8,,2723.3,214.7,411,4310,340.1,942.6,5981.7,424.6,332.7,14.4,0.1,77.9,3,998.8,5
Jeddah - KAU,21.49604,39.24492,01/10/2017 00:00:00,31.4,0.5,325,3.7,3.6,0.1,1.9,,1835.5,128.6,203.7,5582.8,392.3,663.4,5562,355,355.6,15.5,0.1,85.1,3,1002.5,5
Jeddah - KAU,21.49604,39.24492,01/11/2017 00:00:00,29.2,0.5,328,4,3.3,0.1,1.7,,1802.6,137.4,347.8,4521,358.9,1174.9,4469.3,283.2,532.6,12.5,0.1,83,3,1005,5
Jeddah - KAU,21.49604,39.24492,01/03/2018 00:00:00,28.5,0.5,319,4,3.3,0.1,2.1,,2259.9,201.3,702.2,5876,462.8,1563.1,6348.6,413.4,417.4,16.5,0.1,50.1,3,1003.6,5
Jeddah - KAU,21.49604,39.24492,01/04/2018 00:00:00,29.7,0.5,319,4,3.7,0.1,2.2,,2655.6,222.3,624.1,5662.2,505.9,1493.5,6918,445.2,473.6,15.7,0.1,46.4,3,1001.4,5
Jeddah - KAU,21.49604,39.24492,01/05/2018 00:00:00,33.4,0.5,318,4,4,0.1,2.4,,3077,249.3,768.3,5216.1,461.8,1575.5,7145.1,480.7,337.5,17.1,0.1,40.2,3,999.3,5
Jeddah - KAU,21.49604,39.24492,01/06/2018 00:00:00,33.9,0.5,317,4,4.2,0.1,2.3,,3198.7,286,880.6,4900.1,467.1,1842.8,7049.4,486.3,457.5,20.3,0.1,46.2,3,997.1,5
Jeddah - KAU,21.49604,39.24492,01/07/2018 00:00:00,34.7,0.5,311,4,3.8,0.1,2.1,,3023.7,223.1,621,4886.1,434.3,1258.1,6883,457.3,299.5,17.3,0.1,44.2,3,997.2,5
Jeddah - KAU,21.49604,39.24492,01/08/2018 00:00:00,34.5,0.5,313,4,4.1,0.1,2.2,,2592.3,202.7,495.6,5172.4,413,1136.2,6584.6,452.5,396.4,16.5,0.1,50,3,997.4,5
Jeddah - KAU,21.49604,39.24492,01/09/2018 00:00:00,33.4,0.5,299,4,3,0.1,1.7,,3065.4,234.6,463.1,3435,271.1,942.6,5723,361.5,318.9,17.9,0.1,64.1,3,998.9,5
Jeddah - KAU,21.49604,39.24492,01/10/2018 00:00:00,31.3,0.5,315,3.7,2.8,0.1,1.8,,2094.4,146.2,310.1,4373.8,317.3,1476.7,5027.9,330.5,1035.3,13.9,0.1,61.2,3,1003.1,5
Jeddah - KAU,21.49604,39.24492,01/11/2018 00:00:00,27.7,0.5,342,4,2.9,0.1,1.7,,1792.8,139.6,455.3,3701.1,350.9,1826.3,3939.4,279.9,992.4,15.7,0.1,58.3,3,1005.1,5
Jeddah - KAU,21.49604,39.24492,01/12/2018 00:00:00,25.7,0.5,333,4,3.7,0.1,2,,1753.3,141.2,505.8,3762.9,392.1,2184.6,3797.9,262.5,767.7,13.9,0.1,62.6,3,1007.5,5.1
Jeddah - KAU,21.49604,39.24492,01/01/2019 00:00:00,25.1,0.5,327,3.7,3.4,0.1,2.1,,2042.4,161.5,469,3345.4,344.5,1808.9,3970.1,292.2,761.6,16,0.1,65.3,3,1007.5,5
Jeddah - KAU,21.49604,39.24492,01/02/2019 00:00:00,25,0.5,329,3.8,4.1,0.1,2.5,,2151.7,193.9,615.1,3871.2,465.4,2458.5,4629.8,348.2,1079,18.1,0.1,56,3,1006.5,5.1
Jeddah - KAU,21.49604,39.24492,01/03/2019 00:00:00,25.1,0.5,328,4,4.4,0.1,2.6,,2348.2,212.5,798.9,5361.8,550.5,2262.7,6041.3,442,893.6,17.3,0.1,51.9,3,1005.3,5
Jeddah - KAU,21.49604,39.24492,01/04/2019 00:00:00,28.6,0.5,321,4,3.8,0.1,2.7,,2576.9,642.1,925.4,5463.5,1180,2153.4,6618.6,1147,517.9,19.7,0.1,49.1,3,1002.5,5
Jeddah - KAU,21.49604,39.24492,01/05/2019 00:00:00,33.6,0.5,307,4,2.6,0.1,2,,2746.2,675.9,422.6,4804.7,1118.6,823,6524.3,1309.7,236.1,13.9,0.1,43.8,3,1000.3,5
