Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
King Abdullah University of Science and Technology Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Thuwal - KAUST,22.3065,39.107,01/01/2017 00:00:00,23.9,0.5,337,4,2.2,0,1.2,,1551,392.1,335.8,5142.7,1155.2,1194.4,4441.4,947.2,374,11.2,0.1,83.6,3,1012.4,5.1
Thuwal - KAUST,22.3065,39.107,01/02/2017 00:00:00,23.3,0.5,356,4,2.7,0.1,1.3,,2316.1,648.2,711.9,3523.9,1496.4,2611.8,4529.6,1149.1,1238.8,13.1,0.1,65.1,3,1012.1,5.1
Thuwal - KAUST,22.3065,39.107,01/03/2017 00:00:00,24.6,0.5,321,4,2.6,0,1.4,,2544.1,777,853.4,4485.6,1359.6,2334.2,5726.5,1258.3,961.1,11.7,0.1,83.6,3,1008.4,5
Thuwal - KAUST,22.3065,39.107,01/04/2017 00:00:00,27.9,0.5,305,4,2.8,0.1,1.5,,3026.8,703.7,550.7,3978,1284.1,1399.8,6098.8,1267.6,599,16,0.1,80.6,3,1007.1,5
Thuwal - KAUST,22.3065,39.107,01/05/2017 00:00:00,29.8,0.5,312,4,2.6,0.1,1.3,,2851.5,665.1,445.3,4210.5,1143.6,1473.9,6160.8,1314.9,902.6,12,0.1,83.8,3,1005.5,5
Thuwal - KAUST,22.3065,39.107,01/06/2017 00:00:00,29.9,0.5,289,4,2.5,0.1,1.5,,2344.2,601.2,541.8,5721,1614.2,1266.8,6778.2,1405.8,278.8,14.7,0.1,92.4,3,1001.6,5
Thuwal - KAUST,22.3065,39.107,01/09/2017 00:00:00,31.4,0.5,289,4,2.5,0.1,1.5,,2630.7,189.5,342.2,4680.7,340.4,754.5,6160.3,406.3,251.4,12.3,0.1,93.7,3,1003.3,5
Thuwal - KAUST,22.3065,39.107,01/10/2017 00:00:00,29,0.5,309,4,2.1,0,1.5,,1788.8,125.4,239.3,5825.1,394,712.4,5630.4,355.6,370.7,10.7,0.1,95.9,3,1007,5
Thuwal - KAUST,22.3065,39.107,01/11/2017 00:00:00,27.5,0.5,322,4,2.3,0,1.3,,1685.6,135.1,353,4843,377.3,1392.6,4537.8,290.3,563.1,11.7,0.1,88.8,3,1009.6,5.1
Thuwal - KAUST,22.3065,39.107,01/03/2018 00:00:00,26,0.5,0,0,0,0,0,,2089.3,169.2,680.4,6161.7,464,1660.6,6375.2,406,451.8,0,0,68.9,3,1008.3,5
Thuwal - KAUST,22.3065,39.107,01/04/2018 00:00:00,27,0.5,0,0,0,0,0,,2507.9,232.6,684.2,6022.8,475.3,1607.6,7031.1,442.8,481.2,0,0,65.5,3,1006.2,5
Thuwal - KAUST,22.3065,39.107,01/05/2018 00:00:00,30.2,0.5,0,0,0,0,0,,3128,248,768.1,5108,447.6,1584,7120.5,454.8,407.7,0,0,62,3,1003.9,5
Thuwal - KAUST,22.3065,39.107,01/06/2018 00:00:00,30.9,0.5,0,0,0,0,0,,2970.5,252.2,913.3,5355.5,479.9,2036.6,7152.3,457.4,534.6,0,0,68.2,3,1001.6,5
Thuwal - KAUST,22.3065,39.107,01/07/2018 00:00:00,31.9,0.5,0,0,0,0,0,,2769.9,223.7,716.2,5444.7,473.9,1530.8,7036.3,455.5,350.7,0,0,65.5,3,1001.7,5
Thuwal - KAUST,22.3065,39.107,01/08/2018 00:00:00,32.1,0.5,0,0,0,0,0,,2421.2,186.3,548,5502.2,433.3,1455.5,6668.6,421.5,509.2,0,0,69.5,3,1001.9,5
Thuwal - KAUST,22.3065,39.107,01/09/2018 00:00:00,31.6,0.5,0,0,0,0,0,,3004.4,214.2,421.5,3679.4,291.3,872.8,5840.5,356.3,288.4,0,0,79.2,3,1003.4,5
Thuwal - KAUST,22.3065,39.107,01/10/2018 00:00:00,29.9,0.5,0,0,0,0,0,,2043.4,159.1,429.4,4577.8,370,1721.6,5111.6,337.2,1114,0,0,71.9,3,1007.7,5
Thuwal - KAUST,22.3065,39.107,01/11/2018 00:00:00,26.9,0.5,0,0,0,0,0,,1619,138,440.4,4521.7,445.4,2022.4,4224.2,292.9,844.4,0,0,61.5,3,1009.8,5.1
Thuwal - KAUST,22.3065,39.107,01/12/2018 00:00:00,24.8,0.5,0,0,0,0,0,,1644.6,135.8,511.7,4220.4,396.4,2112.5,3910.5,263,665.3,0,0,66.4,3,1012.2,5.1
Thuwal - KAUST,22.3065,39.107,01/01/2019 00:00:00,24.1,0.5,0,0,0,0,0,,1959.2,145.5,497.7,3470.4,349.6,1962.4,3951.5,277.3,816,0,0,67.7,3,1012.3,5
Thuwal - KAUST,22.3065,39.107,01/02/2019 00:00:00,23.9,0.5,0,0,0,0,0,,2080.2,176.4,652.6,4001.6,445,2590.8,4607.3,348.1,1250.1,0,0,57.9,3,1011.5,5
Thuwal - KAUST,22.3065,39.107,01/03/2019 00:00:00,23.7,0.5,0,0,0,0,0,,2209.2,194.3,765,5648.4,522.2,2320.1,6107.7,408.6,1048.3,0,0,60.6,3,1010.2,5.1
Thuwal - KAUST,22.3065,39.107,01/04/2019 00:00:00,26.2,0.5,0,0,0,0,0,,2516.8,702.6,1038.4,5741,1313.1,2500.5,6768.1,1182,685.1,0,0,64.7,3,1007.5,5
Thuwal - KAUST,22.3065,39.107,01/05/2019 00:00:00,30.2,0.5,0,0,0,0,0,,2797.3,695.2,477,4946.6,1180,973.8,6682.7,1335.2,333.3,0,0,63.9,3,1005.1,5
Thuwal - KAUST,22.3065,39.107,01/06/2019 00:00:00,31.8,0.5,0,0,0,0,0,,2680.4,647.4,424.2,4588.4,1185.1,1123.2,6334.7,1306.6,523.8,0,0,66,3,1002.1,5
Thuwal - KAUST,22.3065,39.107,01/07/2019 00:00:00,31.8,0.5,0,0,0,0,0,,2480.5,262.2,692.9,5709.7,1219.8,1646.7,6893.8,1271.8,661.2,0,0,68,3,1000.9,5
Thuwal - KAUST,22.3065,39.107,01/08/2019 00:00:00,32.2,0.5,0,0,0,0,0,,2337.3,163.3,449.8,5597.8,375.6,1005.8,6611,401.9,376.2,0,0,69.8,3,1002.5,5
Thuwal - KAUST,22.3065,39.107,01/09/2019 00:00:00,30.9,0.5,0,0,0,0,0,,2469.5,186.7,408.9,4619.7,352.3,1115,5908.1,375.6,416.2,0,0,78,3,1002.8,5
Thuwal - KAUST,22.3065,39.107,01/10/2019 00:00:00,31.1,0.5,0,0,0,0,0,,1870.5,228.4,403.5,5032.4,529.5,1215.6,5228,520.5,325.3,0,0,69,2.9,1007.6,5.2
Thuwal - KAUST,22.3065,39.107,01/11/2019 00:00:00,28.1,0.5,0,0,0,0,0,,1567.2,121.1,343.4,5053,393.1,1273.5,4486.9,291.4,478.9,0,0,63,3,1008.6,5
Thuwal - KAUST,22.3065,39.107,01/12/2019 00:00:00,24.8,0.5,0,0,0,0,0,,1322.5,114.8,423.8,5637.5,441.6,1429.3,4316.6,272.5,317.2,0,0,58,3,1011.5,5.1
Thuwal - KAUST,22.3065,39.107,01/01/2020 00:00:00,21.6,0.5,102,4,0.2,0,0.7,,1307.7,121.6,504.1,6020.4,463.4,2182.9,4597,304.2,753.1,8.5,0,52.8,3,1014.3,5.1
Thuwal - KAUST,22.3065,39.107,01/02/2020 00:00:00,22.7,0.5,122,4,2.6,0,1.2,,1963,577.4,733.8,4774.1,1553.7,2455,4914.9,1139.8,923.7,14.1,0.1,62.1,3,1012.8,5.1
Thuwal - KAUST,22.3065,39.107,01/03/2020 00:00:00,24.1,0.5,102,4,2.6,0.1,1.4,,2321.5,641.8,759.5,5308.6,1645.4,2035.6,6083.3,1332,1073.4,14.9,0.1,66.8,3,1008.8,5.1
Thuwal - KAUST,22.3065,39.107,01/04/2020 00:00:00,26,0.6,100,4.3,2.4,0.1,1.4,,2145.2,267,677.2,6306.7,862.1,1650.6,6790.1,740.7,446.2,11.2,0.1,67.9,3.5,1007.6,5.9
Thuwal - KAUST,22.3065,39.107,01/05/2020 00:00:00,29.3,0.5,99,4,2.5,0,1.4,,2533.6,408,676.2,5336.2,904.8,1958.4,6632.5,1096.3,903.7,12.3,0.1,67.4,3,1005.5,5.1
Thuwal - KAUST,22.3065,39.107,01/09/2020 00:00:00,32.4,0.5,63,4,2.3,0.1,1.7,,2314.2,553.3,316.8,5023.7,1122.2,879.8,6025.7,1215.2,423.8,11.2,0.1,74.8,3,1002.1,5
