Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
King Faisal University Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Al Ahsa - KFU,25.34616,49.5956,01/01/2017 00:00:00,17,0.5,311,3.7,1.9,0,1.1,,1691.9,498,540.5,3758.5,1081.4,1775.5,3707.6,856,505.1,10.7,0,37.9,3,1000.6,5
Al Ahsa - KFU,25.34616,49.5956,01/02/2017 00:00:00,15.4,0.5,327,4,1.8,0,1.1,,2081.7,561.8,595.6,2698.7,1337.8,2286.7,3725,1068,1394,10.7,0.1,44.8,3,1001.4,5
Al Ahsa - KFU,25.34616,49.5956,01/03/2017 00:00:00,22.3,0.5,55,4,1.6,0,0.9,,2750.5,663.4,635.2,2633,1165.6,2003.6,4575.6,1181.8,1336.6,14.7,0,40.7,3,995.9,5
Al Ahsa - KFU,25.34616,49.5956,01/04/2017 00:00:00,30,0.5,14,4,2,0,1.1,,3259.5,769,558.6,3821.9,1288.3,1432.4,6136.1,1374.7,664.2,11.2,0.1,21.6,3,993.7,5
Al Ahsa - KFU,25.34616,49.5956,01/05/2017 00:00:00,35.9,0.5,,,,,,,3368.5,237.9,625.2,3835.6,347.1,1365.6,6429,390,591.5,,,22.7,3,989.3,5
Al Ahsa - KFU,25.34616,49.5956,01/06/2017 00:00:00,38.3,0.5,,,,,,,2647.2,775.1,830.2,5790.2,1567.2,1659.9,7095.7,1465.5,475.4,,,17.1,3,984,4.9
Al Ahsa - KFU,25.34616,49.5956,01/09/2017 00:00:00,35.7,0.5,102,4,1.2,0,0.7,,2166.1,92.5,328.4,6297.6,271.1,865.3,6667.4,265.5,357.8,7.2,0,29.6,3,988.3,4.9
Al Ahsa - KFU,25.34616,49.5956,01/10/2017 00:00:00,31.3,0.5,,,,,,,1810.4,145.9,342.2,5806.2,409.1,687.8,5578.1,368.8,297.4,,,41.2,3,993.4,5
Al Ahsa - KFU,25.34616,49.5956,01/11/2017 00:00:00,23.7,0.5,326,4,1.4,0,0.9,,1673,68.7,518.6,4803.4,187,2242.3,4347.2,138.1,915.9,10.1,0,37.8,3,998.8,5
Al Ahsa - KFU,25.34616,49.5956,01/12/2017 00:00:00,17.8,0.6,296,4.4,1.6,0,1.2,,1195.7,144.5,409.9,6085.2,517.5,1557,4260.2,336.6,345.3,10.9,0.1,31.2,3.3,1002.5,5.6
