Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
King Saud University Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Riyadh - KSU,24.72359,46.61639,01/01/2017 00:00:00,16.9,0.5,53,4,1.9,0,1,,1684,221,602.9,4945.2,509,2114.3,4379.7,423,731.7,9.3,0.1,36.5,3,942.7,4.7
Riyadh - KSU,24.72359,46.61639,01/02/2017 00:00:00,14.5,0.5,52,4,2,0,1.1,,2240,468.7,600.9,3624.6,1368.2,2630.8,4482.8,1173.9,1364.4,10.4,0.1,44.1,3,943.2,4.7
Riyadh - KSU,24.72359,46.61639,01/03/2017 00:00:00,22.3,0.5,108,4,2.2,0,1,,2825.4,736.2,649.9,3235.2,1233.1,2286.2,5128.6,1276.6,1435.1,12.5,0.1,39.3,3,938.5,4.6
Riyadh - KSU,24.72359,46.61639,01/04/2017 00:00:00,29.7,0.5,77,4,2.2,0,1.2,,3292.8,863.5,645.6,4711.6,1387.9,2082,6876.9,1549.4,1060.6,16.3,0.1,21.4,3,938.4,4.7
Riyadh - KSU,24.72359,46.61639,01/05/2017 00:00:00,34.7,0.5,70,4,2.1,0,1.1,,3808.4,953.1,713.8,4143.5,1126.8,1533.9,7158.3,1513.6,610.5,16.5,0.1,19.2,3,935.5,4.7
Riyadh - KSU,24.72359,46.61639,01/06/2017 00:00:00,37,0.5,22,4,2.3,0,1.4,,2797.7,864.6,838,7017.4,1721.9,1796.2,8177,1649.4,453.5,13.6,0.1,11.4,3,932,4.7
Riyadh - KSU,24.72359,46.61639,01/09/2017 00:00:00,35.1,0.5,38,4.1,1.6,0,1.1,,2054.9,209.7,339.6,6637.3,554.2,896.6,6742.2,605.5,284.9,12.5,0.1,12.7,3.1,934.6,4.9
Riyadh - KSU,24.72359,46.61639,01/10/2017 00:00:00,30.4,0.5,118,4,1.4,0,0.9,,1745.2,128.1,340.7,6675.4,459,693.3,5978.9,373.8,258.3,13.9,0,19.1,3,938.9,4.7
Riyadh - KSU,24.72359,46.61639,01/11/2017 00:00:00,22.8,0.5,110,4,1.6,0,0.9,,1577.4,139.3,393.1,5164.4,446.1,2104.7,4498.9,328.7,944.1,9.1,0,35.5,3,941.8,4.7
Riyadh - KSU,24.72359,46.61639,01/03/2018 00:00:00,25.9,0.5,100,4,1.9,0,1.1,,2318.5,198.8,708,5733.3,513.6,2201.4,6286.7,434.2,1009,12.3,0.1,23,3,939.4,4.7
Riyadh - KSU,24.72359,46.61639,01/04/2018 00:00:00,26.9,0.5,195,4,2.2,0,1.2,,3399.3,265,745.4,3434.4,348.9,1994.8,6105.1,453.6,1467.3,20.5,0.1,33.4,3,936.7,4.7
Riyadh - KSU,24.72359,46.61639,01/05/2018 00:00:00,33.1,0.5,208,4,2.2,0,1.2,,3500.5,262.1,694.8,4557.7,389,1836.5,7141.6,474.7,885.2,12.3,0.1,18.1,3,935.1,4.7
Riyadh - KSU,24.72359,46.61639,01/06/2018 00:00:00,37.5,0.5,245,4,2.4,0.1,1.5,,3191.4,245.8,657.6,5845.5,439.4,1336.3,7787.4,484.8,342.5,14.9,0.1,12.6,3,931,4.7
Riyadh - KSU,24.72359,46.61639,01/07/2018 00:00:00,38,0.5,243,3.7,2.2,0.1,1.4,,2897.7,217.3,580.9,5911.1,474.3,1411.1,7549.8,535.4,558.8,14.7,0.1,11.8,3,928.6,4.6
Riyadh - KSU,24.72359,46.61639,01/08/2018 00:00:00,37,0.5,238,4,1.9,0,1.4,,2459.3,183.9,599.9,6446.6,496.2,1349.2,7345.4,463.1,317.5,13.3,0.1,13.3,3,930.3,4.7
Riyadh - KSU,24.72359,46.61639,01/09/2018 00:00:00,36.4,0.5,272,4,1.7,0,1.3,,2366.5,169.4,314.9,5812.3,420.4,800.1,6565.6,410.3,327.9,12,0.1,14.3,3,934.6,4.7
Riyadh - KSU,24.72359,46.61639,01/10/2018 00:00:00,29.1,0.5,129,3.7,1.5,0,1,,2006.4,182.5,585,4792.2,422.3,2365.6,5125,355.3,1260.9,12.3,0,30.6,3,940.2,4.7
Riyadh - KSU,24.72359,46.61639,01/11/2018 00:00:00,21.3,0.5,58,3.7,1.9,0,1,,1887.6,159.4,491.8,3492.5,370.2,1958.9,3889.5,276.4,838.5,9.3,0,56.6,3,941.9,4.7
Riyadh - KSU,24.72359,46.61639,01/12/2018 00:00:00,18.4,0.5,126,3.7,1.8,0,0.8,,1442.7,122.8,355.2,4760.7,358.2,1460.8,3977.8,261.8,531.2,8.3,0,50.5,3,943.5,4.7
Riyadh - KSU,24.72359,46.61639,01/01/2019 00:00:00,18.2,0.5,206,3.7,1.9,0,1,,2100.8,176.7,583.5,3592.9,351.9,1497.9,4125.2,272.3,329.1,10.1,0.1,36.5,3,942.9,4.7
Riyadh - KSU,24.72359,46.61639,01/02/2019 00:00:00,18.1,0.5,234,3.7,2.2,0,1.2,,2046.4,171.4,705.8,4755,532.9,2392.3,4913.4,348.7,856.9,14.1,0.1,36.8,3,941.6,4.6
Riyadh - KSU,24.72359,46.61639,01/03/2019 00:00:00,21,0.5,214,3.7,2.4,0,1.1,,2525.2,340.6,938.4,5356.4,619.6,2365.9,6189.1,653.3,706.7,11.5,0.1,28,3,939.2,4.6
Riyadh - KSU,24.72359,46.61639,01/04/2019 00:00:00,25.7,0.5,213,4,2.2,0,1.1,,2922.9,600.7,751.1,4329.2,1163.2,2487.5,6199.7,1206.7,1266.9,13.1,0.1,31.3,3,937.7,4.7
Riyadh - KSU,24.72359,46.61639,01/05/2019 00:00:00,32.9,0.5,219,4,1.8,0,1.1,,2962.2,723.2,667.8,4113.4,1397.2,2237.9,6209.3,1467.7,1389.9,13.1,0.1,21.9,3,935.9,4.7
Riyadh - KSU,24.72359,46.61639,01/06/2019 00:00:00,38,0.5,258,4,1.9,0,1.3,,2606.6,782.8,744.4,6062.2,1466.9,1737.1,7261.7,1501.3,525,14.7,0.1,12.3,3,932,4.7
Riyadh - KSU,24.72359,46.61639,01/07/2019 00:00:00,38,0.5,241,4,2.3,0,1.5,,2394.1,352.4,631.4,7027,1497.8,1389,7737.8,1484.3,324.3,17.6,0.1,11.9,3,929,4.7
Riyadh - KSU,24.72359,46.61639,01/08/2019 00:00:00,37.3,0.5,238,4,2,0,1.2,,2176.6,176.7,520,7002.8,478.7,1178.3,7412.5,458.6,341.8,12.3,0.1,12.4,3,930.4,4.7
Riyadh - KSU,24.72359,46.61639,01/09/2019 00:00:00,35.9,0.5,273,4,1.7,0,1.1,,2004.4,175.5,464.5,6547.9,479.2,1088.5,6639.2,412.5,344.4,12,0.1,15.8,3,934,4.7
Riyadh - KSU,24.72359,46.61639,01/10/2019 00:00:00,31.2,0.5,18,4,1.6,0,0.9,,1800.2,139.4,391,5991.1,420.4,956.3,5614.5,353.1,306.8,9.9,0,23.6,3,938.3,4.7
Riyadh - KSU,24.72359,46.61639,01/11/2019 00:00:00,22.1,0.5,28,4,1.7,0,0.9,,1703.6,142.7,450.6,4160.2,369.9,2256.1,4052.7,291.8,1053.3,8.8,0,42.8,3,941.5,4.7
Riyadh - KSU,24.72359,46.61639,01/12/2019 00:00:00,17.8,0.5,40,4,1.8,0,0.9,,1288.7,122,448.8,5120.3,442.8,2220.7,3978.1,269.5,726.1,9.3,0.1,46.3,3,942.3,4.7
Riyadh - KSU,24.72359,46.61639,01/01/2020 00:00:00,14.8,0.5,252,4,1.8,0,1,,1305.5,361.8,500.4,5841.8,1544,1791.7,4446.7,984.5,855.5,9.1,0.1,40.8,3,942.8,4.7
Riyadh - KSU,24.72359,46.61639,01/02/2020 00:00:00,19,0.5,50,4,2.2,0,1.1,,2118.4,616.8,733,4982.2,1706,2228.3,5154.1,1201.6,704.4,12.5,0.1,27.8,3,942.4,4.7
Riyadh - KSU,24.72359,46.61639,01/03/2020 00:00:00,23.1,0.5,236,4,2,0,1.1,,2676.4,698.2,742,5101,1523.1,2010.5,6235.7,1294.4,741.3,10.9,0.1,24.9,3,938.4,4.7
Riyadh - KSU,24.72359,46.61639,01/04/2020 00:00:00,28.4,0.5,32,4,2.3,0,1.1,,3200.1,869.1,675.5,3992.3,1277.6,1827.8,6285.3,1422.1,1006.5,13.1,0.1,29,3,936.7,4.7
Riyadh - KSU,24.72359,46.61639,01/05/2020 00:00:00,33.5,0.5,276,4,2,0,1.1,,3132.4,831.9,798.3,5272.8,1459.3,2160.6,7182.2,1517.4,962.1,11.7,0.1,16.3,3,936.2,4.7
Riyadh - KSU,24.72359,46.61639,01/09/2020 00:00:00,35.1,0.5,266,4,1.6,0,1.2,,2016.9,547.9,442.2,6497.7,1506.8,1017.8,6630.2,1351,262.1,14.1,0.1,15.2,3,934.1,4.7
Riyadh - KSU,24.72359,46.61639,01/10/2020 00:00:00,27.8,0.5,259,4,1.4,0,0.9,,1247.3,328.4,248.9,7725.2,1650.3,707.5,5985.7,1226.7,295.7,9.1,0,17,3,939.5,4.7
Riyadh - KSU,24.72359,46.61639,01/11/2020 00:00:00,23.5,0.5,58,4,1.8,0,1,,1331.9,394.5,362.6,5734.9,1511.6,2170.6,4530.7,1037.6,945.3,9.9,0.1,36.1,3,941.6,4.7
Riyadh - KSU,24.72359,46.61639,01/12/2020 00:00:00,17.5,0.5,31,4,1.7,0,0.9,,1489.7,433.2,475.4,4640.4,1309.5,1891.9,3933.7,857.1,675.8,8.5,0,49,3,943.6,4.7
Riyadh - KSU,24.72359,46.61639,01/01/2021 00:00:00,16.7,0.5,32,4,1.6,0,1,,1550.3,433.7,431.9,5067,1395,1982.6,4327.6,968.6,790.2,10.7,0,40.7,3,943.8,4.7
