Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Majmaah University Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Majmaah - University,25.85891,45.41889,01/01/2017 00:00:00,14,0.5,81,4,3.1,0.1,1.7,,1611.9,493.5,541.1,4846.9,1203.2,1870.5,4179.1,942.8,474.5,13.6,0.1,40.7,3,936.6,4.7
Majmaah - University,25.85891,45.41889,01/02/2017 00:00:00,12.6,0.5,90,4,3.3,0.1,1.9,,1949.1,561.9,615.5,4732.1,1663.3,2537.3,4783.2,1152.2,1048,14.4,0.1,39.6,3,937,4.7
Majmaah - University,25.85891,45.41889,01/03/2017 00:00:00,20.4,0.5,130,4,4.2,0.1,2.2,,2868.3,729.9,683.9,3001.6,1052.2,2010.6,4958.5,1207.5,1208.5,19.2,0.1,40.8,3,932.1,4.7
Majmaah - University,25.85891,45.41889,01/04/2017 00:00:00,27.1,0.5,111,4,3.7,0.1,2,,3386.2,876.1,815.8,3876.1,1503,2205.5,6331.3,1450.8,998.7,26.4,0.1,25.8,3,932.5,4.7
Majmaah - University,25.85891,45.41889,01/05/2017 00:00:00,32.4,0.5,149,4,3.3,0.1,1.8,,3634.7,925.3,715.6,4113.2,1200.7,1649.1,6955.8,1492.7,774.9,23.5,0.1,19.4,3,929.8,4.7
Majmaah - University,25.85891,45.41889,01/06/2017 00:00:00,34.9,0.5,20,4,3,0.1,2,,2535.3,905.3,769.9,7085.1,1694.7,1719.8,7907.4,1611.5,645.5,15.2,0.1,10,3,926.7,4.6
Majmaah - University,25.85891,45.41889,01/09/2017 00:00:00,32.7,0.5,36,4,2.5,0.1,1.8,,2161.9,252.8,522.8,6542.7,605,1205.7,6766.3,596.4,364.1,15.2,0.1,10.3,3,929.3,4.7
Majmaah - University,25.85891,45.41889,01/10/2017 00:00:00,28.1,0.5,173,3.7,2.7,0.1,1.8,,1768.2,124.1,333.5,6498.1,429.2,748.8,5844.2,360.7,254.6,13.1,0.1,15.7,3,932.9,4.6
Majmaah - University,25.85891,45.41889,01/11/2017 00:00:00,20.3,0.5,130,4,2.8,0.1,1.7,,1633.2,151.8,534.6,4861.8,446.5,2274.9,4333.5,329.6,1102.2,12.5,0.1,34.6,3,935.5,4.7
Majmaah - University,25.85891,45.41889,01/03/2018 00:00:00,23.7,0.5,140,4,3.4,0.1,2,,2598,209.1,701.7,5142.9,427.9,2252.8,6130.1,422,1006.4,15.7,0.1,26.2,3,933.4,4.7
