Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Rania Technical Institute Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Rania - TVTC,21.21501,42.84853,01/01/2017 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
Rania - TVTC,21.21501,42.84853,01/02/2017 00:00:00,17.8,0.5,144,4,3.4,0.1,1.7,,2489.3,560.8,620.2,3360.3,1138.2,1940.2,4696.4,1091.8,1034.7,22.6,0.1,36.1,3,912.8,4.6
Rania - TVTC,21.21501,42.84853,01/03/2017 00:00:00,24.9,0.5,178,4,3.8,0.1,2.4,,2849.3,288,718.4,3924,524.3,1841,5689.1,598.9,819.1,21.3,0.1,33.7,3,909.1,4.6
Rania - TVTC,21.21501,42.84853,01/04/2017 00:00:00,30.3,0.5,,,,,,,3141.5,756.8,763.9,4917.6,1343.3,1962.5,6940.9,1511,996.2,,,17.7,3,908.5,4.5
Rania - TVTC,21.21501,42.84853,01/05/2017 00:00:00,32,0.5,256,4,3.1,0.1,1.9,,3045.4,733.2,643.2,4398.2,1070.7,1209.7,6588.7,1363.3,770,24.2,0.1,24.7,3,908.4,4.6
Rania - TVTC,21.21501,42.84853,01/06/2017 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
Rania - TVTC,21.21501,42.84853,01/09/2017 00:00:00,32.2,0.5,107,4,2.4,0.1,1.6,,2290.2,395,440.7,6135.3,1084,1205.2,6773,1117.6,376.1,15.7,0.1,10.7,3,907.5,4.5
Rania - TVTC,21.21501,42.84853,01/10/2017 00:00:00,27.6,0.5,,,,,,,1491.3,129.9,353.3,7963,549.8,914.3,6572.9,418,318.7,,,14,3.1,909.9,4.7
Rania - TVTC,21.21501,42.84853,01/11/2017 00:00:00,23.2,0.5,181,4,3.4,0.1,1.7,,1461.4,119.2,419.8,6553.3,442.3,1926.8,5252.1,320.3,872.8,14.7,0.1,27.3,3,912.5,4.6
Rania - TVTC,21.21501,42.84853,01/03/2018 00:00:00,25.9,0.5,184,4,3.7,0.1,1.9,,2201.4,82,589.8,6323.8,254.2,2017.6,6647.4,222.4,981.3,29.3,0.1,21.7,3,910.6,4.6
Rania - TVTC,21.21501,42.84853,01/04/2018 00:00:00,26.5,0.5,215,4,3.7,0.1,2.3,,2885.1,141.8,776.9,4650.2,244.5,2138.4,6467.7,284.8,1108.3,33.3,0.1,33.9,3,908.7,4.5
Rania - TVTC,21.21501,42.84853,01/05/2018 00:00:00,32.2,0.5,174,4,3.4,0.1,2,,3333.3,149.6,789.4,5330.2,206,1731.6,7521.3,246.1,655,24.2,0.1,15.8,3,907.5,4.5
Rania - TVTC,21.21501,42.84853,01/01/2019 00:00:00,20.6,0.5,,,,,,,2171.8,664.3,747,4634.6,1419.4,1948,4864.6,1052.1,373.1,,,32.7,3,912.1,4.6
Rania - TVTC,21.21501,42.84853,01/02/2019 00:00:00,21.3,0.5,,,,,,,2401.2,547.4,720.5,4490.4,1107.9,1937.2,5330.1,1254,679.8,,,33.5,3,910.8,4.6
Rania - TVTC,21.21501,42.84853,01/03/2019 00:00:00,23.5,0.5,224,4,4,0.1,3.1,,2723,100.6,822.9,5245,217.9,1928.1,6513.2,220.8,547.5,23.7,0.1,21.2,3,910.1,4.6
Rania - TVTC,21.21501,42.84853,01/04/2019 00:00:00,26.6,0.5,260,4,3.3,0.1,2.3,,2881.5,767,1008.7,4203.2,842.2,2063.3,6275.2,1204.3,790.1,25.8,0.1,30.5,3,909.1,4.6
Rania - TVTC,21.21501,42.84853,01/05/2019 00:00:00,29.9,0.5,272,4,3.5,0.1,2.3,,2986.6,900.4,658.8,3704,1206.9,1998,6095.7,1386.7,1324.9,23.7,0.1,27.3,3,908.9,4.6
Rania - TVTC,21.21501,42.84853,01/06/2019 00:00:00,35.5,0.5,267,4,3.5,0.1,2.3,,3051.8,713.4,443.1,5318.3,1356.6,1316.9,7328.3,1464.7,506.7,21.9,0.1,11,3,905.7,4.5
Rania - TVTC,21.21501,42.84853,01/07/2019 00:00:00,36.2,0.5,281,4,4.6,0.1,2.6,,,,,3278.8,1259.3,3109.4,7619.2,1478.7,449,17.6,0.1,9.7,3,903.3,4.5
Rania - TVTC,21.21501,42.84853,01/08/2019 00:00:00,34.7,0.5,265,4,4.5,0.1,3.1,,2803,120.1,647.5,5779.2,218.8,1411.8,7292.2,250.1,400.5,19.5,0.1,14.6,3,904.7,4.5
