Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Saline Water Conversion Corporation (Farasan) Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Farasan - SWCC,16.692097,42.098767,01/01/2017 00:00:00,26.9,0.5,155,4,3.1,0.1,1.7,,1908,494.7,483.8,4814.5,1109.4,1360.8,4822.5,955,256,11.5,0.1,77.1,3,1012.4,5.1
Farasan - SWCC,16.692097,42.098767,01/02/2017 00:00:00,27,0.5,178,4,3.8,0.1,2,,2883.1,657,351.2,2564.2,815.3,1202.8,4637,1058.9,871.2,13.3,0.1,75.2,3,1011.6,5.1
Farasan - SWCC,16.692097,42.098767,01/03/2017 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
Farasan - SWCC,16.692097,42.098767,01/04/2017 00:00:00,30.4,0.5,180,4,3.5,0.1,1.7,,2685.1,682,517.7,4453.1,1141.9,1358.7,6131.4,1259.4,586.5,17.9,0.1,71.8,3,1007.2,5
Farasan - SWCC,16.692097,42.098767,01/05/2017 00:00:00,32.6,0.5,233,3.7,3.2,0.1,1.6,,2936.2,692.4,608.6,4173.1,1097.5,1307,6306.4,1298.8,584.7,16.8,0.1,71,3,1005.7,5
Farasan - SWCC,16.692097,42.098767,01/06/2017 00:00:00,33.6,0.5,257,4,3.5,0.1,1.8,,3288.5,246.2,551.5,3596.8,313.1,1316.3,6265.1,394.7,546.2,13.6,0.1,69.4,3,1001.8,5
Farasan - SWCC,16.692097,42.098767,01/09/2017 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
Farasan - SWCC,16.692097,42.098767,01/03/2018 00:00:00,28.1,0.5,168,4,3.4,0.1,1.9,,2369.4,179.3,376.4,5679.6,419.4,896.9,6545.1,415.5,307.1,12.3,0.1,73.7,3,1008.6,5.1
Farasan - SWCC,16.692097,42.098767,01/04/2018 00:00:00,30.6,0.5,204,4,3.5,0.1,1.7,,2690.8,234.4,644.5,5046.4,408.6,1438.9,6577,423.6,464.3,13.3,0.1,72.6,3,1006.2,5
Farasan - SWCC,16.692097,42.098767,01/05/2018 00:00:00,32.3,0.5,218,4,3.6,0.1,1.8,,3095,245,643.9,4629.2,369.1,1220.6,6800.7,424.3,246.9,13.3,0.1,70.4,3,1004.2,5
Farasan - SWCC,16.692097,42.098767,01/06/2018 00:00:00,33.8,0.5,265,4,1.1,0.1,2.2,,3848,277.2,583.2,2741.4,290,1487,6138.8,424.9,683,19.2,0.1,65.6,3,1001.7,5
Farasan - SWCC,16.692097,42.098767,01/07/2018 00:00:00,34.4,0.5,282,0,0,0,0,,3812.7,311,320.8,2586.4,292.1,826.2,6003.1,484.5,500.8,0.5,0,60.8,3,1001.8,5
Farasan - SWCC,16.692097,42.098767,01/08/2018 00:00:00,34.1,0.5,0,0,0,0,0,,3396.6,230.6,397.3,3092.8,285.8,991.7,5969.5,399.4,506.5,0,0,64.3,3,1002.3,5
Farasan - SWCC,16.692097,42.098767,01/09/2018 00:00:00,33.5,0.5,0,0,0,0,0,,2910.5,213.8,387.2,3904.2,294.8,852.9,5995.6,366.1,348.1,0,0,71.6,3,1004.4,5
Farasan - SWCC,16.692097,42.098767,01/01/2019 00:00:00,26.6,0.5,0,0,0,0,0,,2404.7,461.8,298.7,3782.8,877.4,761.5,4754,929.4,279.1,0,0,78.6,3,1012.6,5.1
Farasan - SWCC,16.692097,42.098767,01/02/2019 00:00:00,27,0.5,328,0,0,0,0,,2633.7,182,327.5,3600.6,328.2,1402.4,5113.6,345.3,727.9,0.5,0,77,3,1011.2,5
Farasan - SWCC,16.692097,42.098767,01/03/2019 00:00:00,27.7,0.5,268,0,0,0,0,,2817.3,216.5,555.6,4176.4,377,1568.5,5900.8,422.6,858.5,5.3,0,73.1,3,1009.7,5.1
Farasan - SWCC,16.692097,42.098767,01/06/2019 00:00:00,34,0.6,0,0,0,0,0,,,,,,,,,,,0,0,67.6,3.4,1002.1,5.7
Farasan - SWCC,16.692097,42.098767,01/07/2019 00:00:00,34.5,0.6,0,0,0,0,0,,,,,,,,,,,0,0,62.2,3.3,1000.8,5.6
Farasan - SWCC,16.692097,42.098767,01/08/2019 00:00:00,33.2,0.6,0,0,0,0,0,,3152.4,275.6,435.1,2806.4,459.8,1337.2,5428.8,514.1,1087,0,0,71.9,3.6,1003.2,6
