Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Saline Water Conversion Corporation (Hagl) Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Hagl - SWCC,29.28997,34.93002,01/01/2017 00:00:00,16.9,0.5,25,4,6.9,0.1,3.3,,1209.4,377.4,521,4966.8,1407.7,2502.3,3583.5,854.5,902.6,21.9,0.2,50.7,3,1015.9,5.1
Hagl - SWCC,29.28997,34.93002,01/02/2017 00:00:00,17.7,0.5,23,4,6.5,0.1,3,,1326,449.3,529,6195.3,1653.5,2194.2,4743.2,1052.2,812,18.1,0.1,45.7,3,1016.2,5.1
Hagl - SWCC,29.28997,34.93002,01/03/2017 00:00:00,21.3,0.5,16,4,6.1,0.1,3.4,,1606.2,545.9,713.2,6199.7,1678.1,2501.3,5558.3,1196.3,893.4,20,0.1,50.5,3,1010.3,5.1
Hagl - SWCC,29.28997,34.93002,01/04/2017 00:00:00,24.9,0.5,20,4,6.7,0.1,3.7,,2098.2,676.9,883.3,6201.1,1830.3,2691.3,6497.3,1427.8,1187.3,23.5,0.2,47.1,3,1010,5.1
Hagl - SWCC,29.28997,34.93002,01/05/2017 00:00:00,27.9,0.5,19,4,6.1,0.1,3.2,,1730.9,533,682.6,7562.2,1799.8,2004.9,7248.7,1484.6,718.1,19.7,0.1,46.4,3,1008,5
Hagl - SWCC,29.28997,34.93002,01/06/2017 00:00:00,29.7,0.5,18,4,7.3,0.1,2.4,,1297,381.3,360.2,8543.8,1864,879,7480.6,1480.6,179.9,17.3,0.1,49.7,3,1005.2,5
Hagl - SWCC,29.28997,34.93002,01/09/2017 00:00:00,29.5,0.5,15,4,7.6,0.1,2.7,,1554.4,167.5,349.9,7044.8,538.6,881.4,6280.5,532.6,279.4,16.3,0.1,60.7,3,1006.9,5.1
Hagl - SWCC,29.28997,34.93002,01/10/2017 00:00:00,26.5,0.5,16,4,6.7,0.1,2.8,,1177.5,102.5,367.2,7072,483.8,1041.2,5308.3,333.8,388.7,17.1,0.1,57.8,3,1010.4,5
Hagl - SWCC,29.28997,34.93002,01/11/2017 00:00:00,22.7,0.5,22,3.9,6.9,0.1,3.2,,1172.9,125.6,385.1,6017.5,469.8,1405.2,4213.1,289.1,382.7,19.5,0.1,55.3,3,1012.8,5
Hagl - SWCC,29.28997,34.93002,01/03/2018 00:00:00,23.4,0.5,23,4,6.1,0.1,3.8,,1877.6,198.8,875.5,6505.4,664.5,2444.1,6067.1,422.7,675.4,21.6,0.2,43.1,3,1010.2,5
Hagl - SWCC,29.28997,34.93002,01/04/2018 00:00:00,24.8,0.5,17,4,5.9,0.1,3.4,,2386.5,199.3,779.8,5939.1,598.3,2411.8,6662.6,479.9,1054.4,22.1,0.1,44.6,3,1008,5
Hagl - SWCC,29.28997,34.93002,01/05/2018 00:00:00,29.3,0.5,18,4,4.9,0.1,3.1,,2875.1,223.1,903.2,5215.4,525.8,2625.7,6864.1,472.2,1190.1,20.5,0.1,42.7,3,1005.5,5
Hagl - SWCC,29.28997,34.93002,01/06/2018 00:00:00,30.3,0.5,16,4,6.8,0.1,2.8,,1845.1,195.8,619.1,8272.2,636.4,1275.4,7953.3,514.2,228.5,17.1,0.1,46,3,1004.5,5
Hagl - SWCC,29.28997,34.93002,01/07/2018 00:00:00,31.4,0.5,11,3.7,5.3,0.1,2.8,,1649.4,171.8,737.5,8439.4,666,1550.8,7799.3,561.5,267,16.3,0.1,47.3,3,1002.7,5
Hagl - SWCC,29.28997,34.93002,01/08/2018 00:00:00,31.2,0.5,13,4,7,0.1,2.4,,1215.1,88.3,345,8765.8,607.8,1018.2,7365.1,466.3,358.3,15.7,0.1,52.4,3,1003.6,5
Hagl - SWCC,29.28997,34.93002,01/09/2018 00:00:00,29.9,0.5,21,4,7.8,0.1,2.3,,1860.6,167.8,560.4,6244.5,603.3,1740.8,6092.9,429,678.3,17.3,0.1,54.5,3,1006.4,5
Hagl - SWCC,29.28997,34.93002,01/10/2018 00:00:00,27.4,0.5,17,3.9,6.5,0.1,2.8,,1624,149.5,559.6,5618.9,488.2,1866.9,5005.6,347,765.1,18.7,0.1,54.2,3,1010,5
Hagl - SWCC,29.28997,34.93002,01/11/2018 00:00:00,23.5,0.5,27,3.7,5.7,0.1,2.8,,1182.7,115.2,438.7,5706.6,529.2,1984.2,4118.3,300.8,643.4,17.3,0.1,50.7,3,1011.9,5
Hagl - SWCC,29.28997,34.93002,01/12/2018 00:00:00,19.4,0.5,26,3.7,5.5,0.1,3,,994.5,107.7,394.5,5997.1,543.2,1858.2,3741.9,280,500.7,19.7,0.1,48.5,3,1015.3,5
Hagl - SWCC,29.28997,34.93002,01/01/2019 00:00:00,17.9,0.5,16,3.7,4.6,0.1,3.4,,1455,120.9,463.2,4569.2,438.6,2131,3689,264.4,786.9,18.9,0.1,44.6,3,1014.3,5
Hagl - SWCC,29.28997,34.93002,01/02/2019 00:00:00,18.8,0.5,18,3.9,5.2,0.1,4,,1379.3,135.9,570.6,6049.8,533.2,2422.2,4761.4,326.4,1045.3,20.8,0.1,45.7,3,1014.3,5
Hagl - SWCC,29.28997,34.93002,01/03/2019 00:00:00,20,0.5,10,4,5.6,0.1,4,,1746,189.8,901.1,6498,608,2816.2,5880.7,405.2,911.5,19.7,0.1,45,3,1012.4,5.1
Hagl - SWCC,29.28997,34.93002,01/04/2019 00:00:00,23,0.5,19,4,6,0.1,4.5,,2146.5,537,785.2,6370,1257,2484.3,6665.1,1260.3,1177.2,24,0.2,44.9,3,1010.3,5.1
Hagl - SWCC,29.28997,34.93002,01/05/2019 00:00:00,28.3,0.5,23,4,5.8,0.1,3.8,,2163.4,719.2,920.7,6630.6,1829.5,2082.3,7078.2,1448.6,525.4,20.3,0.1,40.5,3,1007,5
Hagl - SWCC,29.28997,34.93002,01/06/2019 00:00:00,30.6,0.5,20,4,5.4,0.1,3.5,,1772,519.2,503.7,7819.5,1867.6,1672.1,7575.9,1583.8,682.7,16.3,0.1,47.5,3,1005,5
