Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Saline Water Conversion Corporation (Umluj) Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Umluj - SWCC,25.00411,37.27382,01/01/2017 00:00:00,21.5,0.5,324,4,3.1,0.1,1.7,,1233.7,380.1,452.6,6085.1,1463.4,1612.6,4448.2,958.8,392.1,10.7,0.1,58.2,3,1015.2,5.1
Umluj - SWCC,25.00411,37.27382,01/02/2017 00:00:00,21.2,0.5,334,4,3.5,0.1,1.9,,1716.4,520,636.7,5960.5,1636.9,2119.3,5284.5,1144.8,716.1,14.4,0.1,46.3,3,1015.4,5.1
Umluj - SWCC,25.00411,37.27382,01/03/2017 00:00:00,23.1,0.5,304,4,3.3,0.1,1.9,,2006.1,631.4,869,6196.2,1632.3,2455.5,6148.7,1316.6,904.6,11.5,0.1,61.4,3,1010.9,5.1
Umluj - SWCC,25.00411,37.27382,01/04/2017 00:00:00,27,0.5,305,4,3.6,0.1,2.1,,2766.8,778.3,996.1,4908.7,1746.6,2676.8,6404.3,1478.5,1026,18.1,0.1,57.2,3,1009.5,5.1
Umluj - SWCC,25.00411,37.27382,01/05/2017 00:00:00,29.3,0.5,302,4,2.9,0.1,1.8,,2419.5,647.7,683.1,6147.7,1710.7,1925.1,7035.7,1481.6,712.4,13.6,0.1,61.5,3,1008.2,5
Umluj - SWCC,25.00411,37.27382,01/06/2017 00:00:00,30.5,0.5,300,4,3.1,0.1,1.6,,2041.9,153.4,427.4,7201.9,532,1008.8,7460,458.8,206.1,12,0.1,65.7,3,1004.4,5
Umluj - SWCC,25.00411,37.27382,01/09/2017 00:00:00,30.6,0.5,305,4,3.1,0.1,1.6,,2512.2,284.1,404.2,5045,400.6,937.2,6164.3,484.2,385.8,10.4,0.1,69,3,1006.3,5
Umluj - SWCC,25.00411,37.27382,01/10/2017 00:00:00,28,0.5,313,3.7,3.3,0.1,1.7,,1424.7,120.4,338.4,6765.1,459.9,1013.6,5632,374.3,418.1,11.5,0.1,65.7,3,1010.5,5
Umluj - SWCC,25.00411,37.27382,01/11/2017 00:00:00,26,0.5,314,4,2.8,0.1,1.8,,1284.1,119.1,404,5939.8,453.4,1555.5,4545.7,320.9,455.6,12.8,0.1,59.8,3,1012.2,5.1
Umluj - SWCC,25.00411,37.27382,01/03/2018 00:00:00,25.9,0.5,297,4,2.4,0.1,2.2,,1836.6,175.7,760,6863.6,561.4,1907.8,6422.2,419.7,405.8,15.5,0.1,55.8,3,1010.6,5.1
