Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Shaqra University Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Shaqra - University,25.17279,45.14198,01/01/2017 00:00:00,15.8,0.5,71,4,2,0,0.9,,1651.9,494.2,593.8,5148,1152.3,2080.8,4376.5,972.8,594,10.1,0.1,37.4,3,928.8,4.7
Shaqra - University,25.17279,45.14198,01/02/2017 00:00:00,13.7,0.5,59,4,2,0,1,,2193.4,588.2,640.9,4202.8,1488.7,2550.1,4770.5,1197.7,1176.5,12,0.1,42.1,3,929.2,4.7
Shaqra - University,25.17279,45.14198,01/03/2017 00:00:00,21.5,0.5,71,4,2.4,0,1.2,,2988.1,783.9,709,3208.7,1311.7,2196.6,5267.3,1276.7,1185.2,16.5,0.1,39,3,924.4,4.6
Shaqra - University,25.17279,45.14198,01/04/2017 00:00:00,28.1,0.5,78,4,2.1,0,1.1,,3339.2,868.9,774.5,4171.1,1389.2,2175.4,6521.1,1495.9,1168.3,13.9,0.1,23.4,3,924.6,4.6
Shaqra - University,25.17279,45.14198,01/05/2017 00:00:00,33.2,0.5,65,4,2.1,0,1.2,,3783.9,954.4,709.2,4083.1,1191,1652.1,7071.3,1499.3,708.9,20.5,0.1,18.9,3,922,4.6
Shaqra - University,25.17279,45.14198,01/06/2017 00:00:00,36.1,0.5,43,4,1.9,0,0.9,,2708.2,901.1,861.3,7005.7,1681.2,1654.6,8038,1603.5,320.7,12.5,0.1,9.7,3,918.9,4.6
Shaqra - University,25.17279,45.14198,01/09/2017 00:00:00,34.1,0.5,47,4,1.6,0,0.9,,2195.5,231.1,453.2,6640.8,601.1,1163.5,6905.7,618,392.5,14.1,0,10.2,3,921.5,4.6
Shaqra - University,25.17279,45.14198,01/10/2017 00:00:00,28.9,0.5,118,4,1.6,0,0.9,,1753.7,116.9,339.5,6887,452.5,717.1,6051.4,368.6,246.8,10.1,0,15.4,3,925.4,4.6
Shaqra - University,25.17279,45.14198,01/11/2017 00:00:00,21.5,0.5,91,4,1.8,0,0.9,,1716,151.7,477.3,5058,488.5,2407.3,4543.3,345.5,961.8,9.1,0.1,35.9,3,927.9,4.7
Shaqra - University,25.17279,45.14198,01/03/2018 00:00:00,24.3,0.5,92,3.7,2,0,1.2,,2527.2,205.7,692.8,5471.2,481.8,2145.1,6267,428,942.6,15.5,0.1,24,3,925.5,4.6
