Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Timaa Technical Institute Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Timaa - TVTC,27.6173,38.5252,01/01/2017 00:00:00,13.2,0.5,57,4,1.9,0,1.2,,1325.4,382.4,579,5906.3,1615.6,2540.3,4235.7,972.3,779.3,11.2,0.1,36.9,3,921.5,4.6
Timaa - TVTC,27.6173,38.5252,01/02/2017 00:00:00,12.5,0.5,61,4,2.3,0.1,1.4,,1649.3,521.8,666,6580.6,1783.5,2047.2,5392.6,1149.9,552.9,11.7,0.1,28.9,3,921.8,4.6
Timaa - TVTC,27.6173,38.5252,01/03/2017 00:00:00,19.4,0.5,206,4,2.6,0.1,1.6,,1990,679.7,867.6,7008.4,1822,2322.5,6511.6,1389.9,657.7,15.7,0.1,25.2,3,917.2,4.6
Timaa - TVTC,27.6173,38.5252,01/04/2017 00:00:00,25.1,0.5,92,4,3.1,0.1,1.6,,2727.9,887.1,1100.6,5257.1,1816.7,3117.5,6508.5,1493.2,1595.3,17.1,0.1,21.1,3,918.3,4.6
Timaa - TVTC,27.6173,38.5252,01/05/2017 00:00:00,29.8,0.5,286,4,2.6,0.1,1.4,,2439,671,792.1,7320.8,1864,1664.4,7872,1610.1,365.1,13.6,0.1,16.1,3,916.8,4.6
Timaa - TVTC,27.6173,38.5252,01/06/2017 00:00:00,33.5,0.5,7,4,2.4,0,1.2,,1845.5,447.5,372.6,8604.1,2115.8,844.2,8158.9,1682,130.8,13.6,0.1,14.6,3.1,914.7,4.7
Timaa - TVTC,27.6173,38.5252,01/09/2017 00:00:00,33,0.5,98,4,2.3,0,1.3,,2419.6,237,451.7,6025.1,489.6,936.2,6674.6,588,355,13.1,0.1,15.6,3,916.4,4.6
Timaa - TVTC,27.6173,38.5252,01/10/2017 00:00:00,26.4,0.5,238,3.7,2,0,1.2,,1347,107,349.1,7582.5,569.1,1031.1,5879.9,394.5,412.2,11.7,0.1,24,3,918.5,4.6
Timaa - TVTC,27.6173,38.5252,01/11/2017 00:00:00,20.3,0.5,85,4,2,0,1.2,,1652.8,163.3,552.5,5246.3,478,1859.2,4426.5,328.7,565.1,12.3,0.1,38.9,3,920.2,4.6
Timaa - TVTC,27.6173,38.5252,01/03/2018 00:00:00,22.8,0.5,130,4,2.4,0,1.5,,2201.9,233,1117.8,6702.4,562.3,2467.4,6509.7,416.5,484.2,17.1,0.1,21.6,3,918.5,4.6
Timaa - TVTC,27.6173,38.5252,01/04/2018 00:00:00,23.4,0.5,335,4,2.8,0.1,1.7,,2665.5,268.8,1024.4,6450.5,564,2390.7,7333.9,479.9,697.4,16.8,0.1,26.7,3,916.1,4.6
Timaa - TVTC,27.6173,38.5252,01/05/2018 00:00:00,28.8,0.5,309,4,3,0.1,1.8,,3115.1,274.6,1095,5636,569.9,2745.3,7389,498.3,982.6,20,0.1,20.9,3,915.9,4.6
Timaa - TVTC,27.6173,38.5252,01/06/2018 00:00:00,32.3,0.5,295,4,2.5,0,1.4,,2262.5,236.9,821.3,8035.6,601.7,1753.3,8218.7,507.4,336.6,15.5,0.1,17.1,3,914.3,4.6
Timaa - TVTC,27.6173,38.5252,01/07/2018 00:00:00,33.4,0.5,279,3.7,2.5,0,1.2,,2187.6,213.7,843.6,7878.7,598.1,1586.5,8005.7,531.3,185,12.5,0.1,17.9,3,912.7,4.5
Timaa - TVTC,27.6173,38.5252,01/08/2018 00:00:00,33.3,0.5,349,4,2.3,0,1.2,,1625.7,143.7,434.7,8288.3,537.1,1136.5,7533.6,466.6,330.3,10.9,0.1,20.1,3,913.6,4.6
Timaa - TVTC,27.6173,38.5252,01/09/2018 00:00:00,33.7,0.5,28,4,2.2,0,1.2,,2464.5,171.4,374.3,5371.6,471.1,1101.4,6329.5,402.4,405.8,21.9,0,17.5,3,916.5,4.6
Timaa - TVTC,27.6173,38.5252,01/10/2018 00:00:00,27,0.5,141,3.7,2.3,0,1.4,,1906.8,165.2,559.1,5731.5,432.4,1679.5,5447.3,352.5,580.5,13.3,0.1,25.4,3,919.5,4.6
Timaa - TVTC,27.6173,38.5252,01/11/2018 00:00:00,18,0.5,103,3.7,2.2,0,1.4,,1406.4,128.4,601.4,4995.9,484.3,2798.2,3967.4,293.9,1084.1,14.1,0.1,59.7,3,920,4.6
Timaa - TVTC,27.6173,38.5252,01/12/2018 00:00:00,14.7,0.5,152,3.7,2.1,0,1.3,,1205,135.1,624.3,5996.9,485.7,2328.4,4013.6,265.9,446.9,14.9,0.1,54.5,3,921.7,4.6
Timaa - TVTC,27.6173,38.5252,01/01/2019 00:00:00,14.2,0.5,195,3.7,2.1,0.1,1.5,,1738.1,140.1,615.7,4375.9,481.2,2776.8,3942.3,282.7,807.5,12.8,0.1,43.8,3,920.4,4.6
Timaa - TVTC,27.6173,38.5252,01/02/2019 00:00:00,14.6,0.5,122,4,2.8,0.1,1.6,,1621,160.7,689.8,6143.3,542.5,2544.7,5130.1,357.2,927.2,14.4,0.1,47,3,920.4,4.6
Timaa - TVTC,27.6173,38.5252,01/03/2019 00:00:00,16.7,0.5,228,3.7,2.7,0.1,1.9,,1709.9,202.2,979.1,7841.6,586.2,2354.7,6669.6,421.2,585.4,19.5,0.1,30.7,3,918.6,4.5
Timaa - TVTC,27.6173,38.5252,01/04/2019 00:00:00,21.9,0.5,218,4,2.8,0.1,1.5,,2292.5,520.5,890.1,6982.3,1390.1,2501.3,7251.2,1369.1,964.1,14.7,0.1,25.1,3,917.6,4.6
Timaa - TVTC,27.6173,38.5252,01/05/2019 00:00:00,30.3,0.5,224,4,2.5,0,1.3,,2357.2,668.9,788.1,7511.2,2052.1,2010.2,7953.8,1612.6,546.6,15.7,0.1,14.3,3,916.6,4.6
Timaa - TVTC,27.6173,38.5252,01/06/2019 00:00:00,33.7,0.5,256,4,2.6,0,1.4,,2203,769.2,870.6,8039.6,2046.4,2091.6,8149.4,1656.1,512.7,19.2,0.1,15.5,3,914.9,4.6
Timaa - TVTC,27.6173,38.5252,01/07/2019 00:00:00,33.7,0.5,301,4,2.5,0,1.3,,1707.7,219.2,607.4,9016.2,597.6,1505.6,8239.6,492.7,410.2,13.6,0.1,16.9,3,912.7,4.6
Timaa - TVTC,27.6173,38.5252,01/08/2019 00:00:00,33.7,0.5,261,4,2.4,0,1.2,,1671.9,150.8,485.3,8426.6,592.3,1306.3,7711.6,484.8,360,15.7,0.1,17.9,3,913.8,4.6
Timaa - TVTC,27.6173,38.5252,01/09/2019 00:00:00,32.9,0.5,29,4,2.1,0,1.2,,1825,156.3,519.6,7172.7,531,1333.9,6725.4,424.3,383.7,12,0.1,18.2,3,915.5,4.6
Timaa - TVTC,27.6173,38.5252,01/10/2019 00:00:00,28.1,0.5,130,4,2.2,0,1.3,,1902.4,189.1,845.8,5422.5,487.1,2388.6,5224.5,333.5,559.8,14.1,0.1,26.7,3,918.7,4.6
Timaa - TVTC,27.6173,38.5252,01/11/2019 00:00:00,19.9,0.5,84,4,2.2,0,1.3,,1342.1,122.6,511.1,5845.2,474.4,2300.7,4375.6,304.4,717.6,13.3,0.1,42.5,3,920.1,4.6
Timaa - TVTC,27.6173,38.5252,01/12/2019 00:00:00,14.3,0.5,204,4,1.9,0,1.4,,876.6,80.5,284.3,7341.8,486.9,1040.1,4303.5,260.6,188,13.3,0.1,41.7,3,921.1,4.6
Timaa - TVTC,27.6173,38.5252,01/01/2020 00:00:00,11.1,0.5,239,4,1.9,0,1.4,,1155.3,403.3,551.9,6835.6,1661.3,2177.2,4477.6,892.5,586.3,13.6,0.1,39.6,3,922.2,4.6
Timaa - TVTC,27.6173,38.5252,01/02/2020 00:00:00,14.6,0.5,220,4,2.1,0,1.4,,1300.9,600.6,794.8,7610.3,1911.9,2413,5507.3,1233.7,564.1,16,0.1,33.6,3,921,4.6
Timaa - TVTC,27.6173,38.5252,01/03/2020 00:00:00,19.4,0.5,213,4,2.8,0.1,1.8,,2117.1,616,836.7,6558.9,1797.4,2485.8,6387.8,1399.4,923.9,19.2,0.1,28.3,3,917.6,4.6
Timaa - TVTC,27.6173,38.5252,01/04/2020 00:00:00,23.9,0.5,192,4,3.2,0.1,1.8,,2158.2,700.2,695.2,7770.5,1928.4,1510.6,7732.1,1558.8,305.5,14.9,0.1,24.8,3,916.5,4.6
Timaa - TVTC,27.6173,38.5252,01/05/2020 00:00:00,29.2,0.5,183,4,2.9,0.1,1.7,,2584.8,659.8,648.3,6907.7,1800.7,1818.8,7826.2,1629.1,695.4,18.1,0.1,18.1,3,917.1,4.6
Timaa - TVTC,27.6173,38.5252,01/09/2020 00:00:00,33.4,0.5,96,4,2,0,1.2,,1992.1,655.4,532.6,6882.4,1661.9,1429,6710.6,1433.1,531.9,14.1,0.1,14.5,3,916.3,4.6
Timaa - TVTC,27.6173,38.5252,01/10/2020 00:00:00,27.3,0.5,109,3.7,2.1,0,1.3,,1244.5,301.3,279.5,7751.5,1682,778.3,5854.3,1220.2,323.8,12.5,0.1,16,3,920,4.6
Timaa - TVTC,27.6173,38.5252,01/11/2020 00:00:00,19.7,0.5,142,4,2.1,0,1.3,,1158.3,352.4,384.3,6697.6,1614.3,1503.3,4608.5,1007.1,431.8,14.4,0.1,45,3,919.9,4.6
Timaa - TVTC,27.6173,38.5252,01/12/2020 00:00:00,15,0.5,109,4,1.9,0,1.3,,1186.1,364.5,419.3,5481.4,1527.2,2309.5,3823.8,853.9,927.5,13.6,0.1,45.8,3,921.7,4.6
Timaa - TVTC,27.6173,38.5252,01/01/2021 00:00:00,14.4,0.5,106,4,2.1,0,1.4,,1335.1,423.4,592.2,5998.3,1665.7,2228,4346.5,980.3,692.3,13.1,0.1,46.3,3,922,4.6
