Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Tuhamat Qahtan Technical Institute Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Al Farshah - TQ TVTC,17.7749,43.17555,01/01/2017 00:00:00,23.8,0.5,54,4,1.9,0,1.2,,1323.8,378.3,417.1,6504.9,1403.2,1181.3,5253.8,1053.6,233.8,9.1,0.1,53.8,3,895.8,4.5
Al Farshah - TQ TVTC,17.7749,43.17555,01/02/2017 00:00:00,23.3,0.5,46,4,2,0,1.3,,2326,603.7,608.6,3505.4,1315.8,2100.9,4657.6,1117.3,1218.9,12.3,0.1,58.6,3,894.9,4.5
Al Farshah - TQ TVTC,17.7749,43.17555,01/03/2017 00:00:00,26.4,0.5,58,4,2.1,0,1.5,,2300.3,608.5,584.7,4717.9,1398.2,2086.6,5753,1273.7,1076.8,15.5,0.1,52.4,3,893,4.5
Al Farshah - TQ TVTC,17.7749,43.17555,01/04/2017 00:00:00,29.3,0.5,64,4,2.3,0.1,1.5,,2473.9,686.3,601,5866.1,1549.2,1694.8,6995.7,1464.2,905.1,13.1,0.1,35.6,3,893.1,4.5
Al Farshah - TQ TVTC,17.7749,43.17555,01/05/2017 00:00:00,29.4,0.5,63,4,2,0,1.6,,2776.4,652.1,467.2,4744.2,1242.7,1134.6,6580.1,1422.3,643.3,16.3,0.1,53.1,3,892.2,4.5
Al Farshah - TQ TVTC,17.7749,43.17555,01/06/2017 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
Al Farshah - TQ TVTC,17.7749,43.17555,01/09/2017 00:00:00,31.1,0.5,51,4,2.4,0.1,1.6,,2299.6,281.2,521,5606,751.8,1197.6,6518.8,779,437.1,17.3,0.1,38.6,3,890.6,4.5
Al Farshah - TQ TVTC,17.7749,43.17555,01/10/2017 00:00:00,29.3,0.5,336,3.7,2.3,0,1.3,,1323,91.8,269.7,7616.6,546,696,6485.5,430.3,274.6,11.7,0.1,28,3,893.4,4.4
Al Farshah - TQ TVTC,17.7749,43.17555,01/11/2017 00:00:00,25.7,0.5,36,4,2.2,0,1.2,,1173.5,103.5,316.6,7198.1,525.9,1266.2,5619.6,393.4,443.8,10.1,0.1,38.8,3,894.6,4.5
Al Farshah - TQ TVTC,17.7749,43.17555,01/03/2018 00:00:00,26.8,0.5,38,4,2.3,0,1.5,,1745.2,134.4,448.6,7193.5,554.3,1375.8,6971.5,478.8,604.4,16,0.1,32.2,3,893.4,4.5
