Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Wadi Addawasir College of Technology Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Wadi Addawasir - TVTC,20.43008,44.89433,01/01/2017 00:00:00,18.6,0.5,128,4,2.7,0.1,1.8,,1579.1,460.8,503,5955.5,1182.4,1371.9,4977.4,973.6,193.8,11.2,0.1,28.5,3,941.9,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/02/2017 00:00:00,18.1,0.5,106,4,3.5,0.1,1.7,,2572.6,709.9,716.6,3716.9,1245.8,1916.5,5020.4,1128.6,795.4,12.5,0.1,36.1,3,942,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/03/2017 00:00:00,25.2,0.5,110,4,3.2,0.1,1.7,,2967.1,798.9,771.3,3884.9,1162.9,1775,5831.1,1251.7,630.2,21.6,0.1,32.7,3,937.2,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/04/2017 00:00:00,29.6,0.5,125,4,3,0.1,1.9,,2843.7,769.9,829.5,5392.9,1546.8,2001.2,6901.4,1487.4,756,16.5,0.1,16.8,3,937.4,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/05/2017 00:00:00,33.6,0.5,103,4,2.5,0.1,1.5,,3274.7,812,759.7,4561.7,1389.8,1567.7,6876.1,1442.4,657.8,14.4,0.1,19,3,935.2,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/06/2017 00:00:00,35.9,0.5,,,,,,,3493.6,1106.7,1298,5369.4,1700.4,2617.6,7656.9,1592.7,634.2,,,12.2,3,931.2,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/09/2017 00:00:00,33.2,0.5,,,,,,,2055.9,159.7,341.1,6929.5,480.5,900.1,7081,449.6,282.3,,,15,3,933.6,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/10/2017 00:00:00,27.7,0.5,,,,,,,1492.2,112.6,343.7,7684.3,505.6,787.2,6463.6,410.7,262.3,,,20.1,3,938.2,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/11/2017 00:00:00,23,0.5,,,,,,,1329.6,138.3,345.9,6941.8,559.9,1639.2,5366.9,394.7,681.7,,,34.5,3,940.5,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/03/2018 00:00:00,26.4,0.5,,,,,,,2311,181.3,662.4,6246.8,512.3,2097.2,6714.6,448.3,910.7,,,24.8,3,938.2,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/04/2018 00:00:00,28.7,0.5,,,,,,,3710.5,300.5,768.4,3792.3,364.3,1700,6720.8,448.4,686.7,,,35.9,3,935.8,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/05/2018 00:00:00,33.2,0.5,,,,,,,3238.1,240.6,720.4,5626.9,419.5,1301.6,7643.6,457.4,235.6,,,18.7,3,934,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/06/2018 00:00:00,36.6,0.5,,,,,,,4063.2,308.4,1105.8,3866.6,417.4,2376.5,7147.7,462.5,778.1,,,14.6,3,930.8,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/07/2018 00:00:00,37.4,0.5,,,,,,,3868.4,295.5,941.4,4012.5,401.2,1971.3,7049.2,456.3,676.8,,,12.4,3,928.8,4.6
Wadi Addawasir - TVTC,20.43008,44.89433,01/08/2018 00:00:00,36.9,0.5,,,,,,,3278.2,271.2,859.6,4916.8,405.5,1577.9,7147.1,437.7,353.3,,,14.2,3,929.5,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/09/2018 00:00:00,34,0.5,,,,,,,2324,182.9,498.9,6317.9,436.8,991,6937.7,420.9,251.9,,,16.6,3,933.7,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/10/2018 00:00:00,28.5,0.5,,,,,,,1947.8,182.4,648.5,6147.5,452.2,1874.3,5999.9,390.3,672.3,,,29.9,3,938.9,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/11/2018 00:00:00,24.9,0.5,,,,,,,1765.5,156.6,508.3,5425.4,417.1,1832.7,4991.5,315.4,629.8,,,38.2,3,940,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/12/2018 00:00:00,20.1,0.5,,,,,,,1186.9,91.2,394.4,6985.8,475.9,1079.1,4963.3,300.2,194.9,,,40.9,3,942.1,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/01/2019 00:00:00,19.9,0.5,,,,,,,2237.6,206.7,786.8,4757.7,424.8,2016.4,4992.5,314.7,379.5,,,34.2,3,941.9,4.7
Wadi Addawasir - TVTC,20.43008,44.89433,01/02/2019 00:00:00,21.8,0.5,,,,,,,2583.3,205.1,572.3,4513.1,383.5,1395.9,5575.7,396.9,473.1,,,32.7,3,940.2,4.7
